class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,pra_precision,pra_recall,pra_f1,pra_support,pra_minus_timematch_f1,pra_minus_source_f1
corn,0.9,0.98,0.94,755,0.89,0.99,0.93,755,0.89,0.99,0.93,755,0.0,-0.009999999999999898
horsebeans,0.0,0.0,0.0,67,0.48,0.24,0.32,67,0.47,0.24,0.32,67,0.0,0.32
meadow,0.82,0.88,0.85,2484,0.88,0.76,0.81,2484,0.88,0.76,0.81,2484,0.0,-0.039999999999999925
spring_barley,0.89,0.71,0.79,2737,0.84,0.92,0.88,2737,0.84,0.92,0.88,2737,0.0,0.08999999999999997
spring_peas,0.4,0.39,0.39,67,0.58,0.43,0.5,67,0.57,0.43,0.49,67,-0.010000000000000009,0.09999999999999998
sunflowers,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
unknown,0.59,0.51,0.55,2516,0.61,0.43,0.51,2516,0.61,0.43,0.51,2516,0.0,-0.040000000000000036
winter_barley,0.82,0.82,0.82,761,0.98,0.82,0.89,761,0.98,0.82,0.89,761,0.0,0.07000000000000006
winter_oat,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
winter_rapeseed,0.96,0.99,0.97,608,0.88,0.99,0.93,608,0.88,0.99,0.93,608,0.0,-0.039999999999999925
winter_triticale,0.11,0.48,0.18,81,0.17,0.12,0.14,81,0.17,0.12,0.14,81,0.0,-0.03999999999999998
winter_wheat,0.84,0.9,0.87,1990,0.7,0.97,0.81,1990,0.7,0.97,0.81,1990,0.0,-0.05999999999999994
