class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,pra_precision,pra_recall,pra_f1,pra_support,pra_minus_timematch_f1,pra_minus_source_f1
corn,0.9,0.98,0.94,755,0.89,0.99,0.93,755,0.58,0.99,0.73,755,-0.20000000000000007,-0.20999999999999996
horsebeans,0.0,0.0,0.0,67,0.48,0.24,0.32,67,0.64,0.34,0.45,67,0.13,0.45
meadow,0.82,0.88,0.85,2484,0.88,0.76,0.81,2484,0.91,0.64,0.75,2484,-0.06000000000000005,-0.09999999999999998
spring_barley,0.89,0.71,0.79,2737,0.84,0.92,0.88,2737,0.87,0.85,0.86,2737,-0.020000000000000018,0.06999999999999995
spring_peas,0.4,0.39,0.39,67,0.58,0.43,0.5,67,0.37,0.55,0.45,67,-0.04999999999999999,0.06
sunflowers,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
unknown,0.59,0.51,0.55,2516,0.61,0.43,0.51,2516,0.5,0.39,0.44,2516,-0.07,-0.11000000000000004
winter_barley,0.82,0.82,0.82,761,0.98,0.82,0.89,761,0.93,0.76,0.84,761,-0.050000000000000044,0.020000000000000018
winter_oat,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
winter_rapeseed,0.96,0.99,0.97,608,0.88,0.99,0.93,608,0.92,0.99,0.95,608,0.019999999999999907,-0.020000000000000018
winter_triticale,0.11,0.48,0.18,81,0.17,0.12,0.14,81,0.08,0.26,0.12,81,-0.020000000000000018,-0.06
winter_wheat,0.84,0.9,0.87,1990,0.7,0.97,0.81,1990,0.72,0.97,0.82,1990,0.009999999999999898,-0.050000000000000044
