class_name,baseline_f1,pra_f1,pra_minus_baseline_f1,baseline_recall,pra_recall,baseline_precision,pra_precision,support
corn,0.93,0.94,0.01,0.98,0.98,0.89,0.90,755
horsebeans,0.32,0.29,-0.03,0.24,0.21,0.48,0.50,67
meadow,0.81,0.81,0.00,0.76,0.76,0.88,0.88,2484
spring_barley,0.88,0.87,-0.01,0.92,0.93,0.84,0.83,2737
spring_peas,0.50,0.47,-0.03,0.43,0.40,0.58,0.55,67
sunflowers,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
unknown,0.51,0.51,0.00,0.43,0.43,0.61,0.62,2516
winter_barley,0.89,0.89,0.00,0.82,0.82,0.98,0.98,761
winter_oat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
winter_rapeseed,0.93,0.94,0.01,0.99,0.99,0.88,0.90,608
winter_triticale,0.14,0.15,0.01,0.12,0.14,0.17,0.17,81
winter_wheat,0.82,0.82,0.00,0.97,0.97,0.70,0.70,1990
