dataset,task,source_baseline,source_best_variant,source_best,source_delta,da_baseline,da_best_variant,da_best,da_delta,baseline_da_minus_source,source_variants_tested,da_variants_tested
HAR,12->16,0.5653,compact_k5,0.6447,0.07940000000000003,0.5909,compact_k5,0.0376,-0.5533,0.025599999999999956,1,1
HAR,2->11,0.4105,compact_k5,0.4826,0.0721,0.5337,compact_k5,0.588,0.054300000000000015,0.12319999999999998,1,1
HAR,6->23,0.62,compact_k5,0.6468,0.026800000000000046,0.358,compact_k5,0.5877,0.22970000000000002,-0.262,1,1
HAR,7->13,0.8518,compact_k5,0.9126,0.060799999999999965,0.9235,compact_k5,0.9033,-0.020199999999999996,0.07169999999999999,1,1
HAR,9->18,0.5517,compact_k5,0.649,0.09730000000000005,0.5633,compact_k5,0.4743,-0.08900000000000002,0.011600000000000055,1,1
HHAR_SA,0->6,0.3104,compact_k5,0.2408,-0.06960000000000002,0.2467,compact_k5,0.1462,-0.1005,-0.0637,1,1
HHAR_SA,1->6,0.7994,compact_k5,0.8046,0.005199999999999982,0.8488,compact_k5,0.8175,-0.031299999999999994,0.0494,1,1
HHAR_SA,2->7,0.4315,compact_k5,0.3712,-0.06030000000000002,0.4114,compact_k5,0.2695,-0.14189999999999997,-0.020100000000000007,1,1
HHAR_SA,3->8,0.9107,compact_k5,0.8751,-0.035599999999999965,0.9335,compact_k5,0.8757,-0.05779999999999996,0.022800000000000042,1,1
HHAR_SA,4->5,0.8719,compact_k5,0.8338,-0.03810000000000002,0.8538,compact_k5,0.8592,0.00539999999999996,-0.018100000000000005,1,1
