dataset,task,source_baseline,source_best_variant,source_best,source_delta,da_baseline,da_best_variant,da_best,da_delta,baseline_da_minus_source,source_variants_tested,da_variants_tested
HAR,12->16,0.5698,compact_boundary_light,0.5875,0.01770000000000005,0.5046,compact_k8,0.4273,-0.07730000000000004,-0.06519999999999992,10,10
HAR,2->11,0.7323,compact_k5,0.7117,-0.02059999999999995,0.675,compact_k5,0.7826,0.10759999999999992,-0.05729999999999991,1,1
HAR,6->23,0.7133,compact_boundary_light,0.7219,0.008599999999999941,0.6591,intra_light_k5,0.6468,-0.012299999999999978,-0.054200000000000026,10,10
HAR,7->13,0.8802,compact_k5,0.8919,0.011700000000000044,0.8828,compact_k5,0.9118,0.029000000000000026,0.0026000000000000467,1,1
HAR,9->18,0.4891,compact_k5,0.6884,0.19930000000000003,0.3668,compact_k5,0.4602,0.09339999999999998,-0.12229999999999996,1,1
HHAR_SA,0->6,0.3287,compact_k5,0.3404,0.011699999999999988,0.2516,compact_k5,0.3821,0.1305,-0.0771,1,1
HHAR_SA,1->6,0.7597,compact_k5,0.7909,0.031200000000000006,0.8285,compact_k5,0.8391,0.010599999999999943,0.06879999999999997,1,1
HHAR_SA,2->7,0.4515,compact_k3,0.5738,0.12229999999999996,0.2494,compact_k3,0.3666,0.11719999999999997,-0.2021,2,2
HHAR_SA,3->8,0.8683,compact_k8,0.8685,0.000200000000000089,0.8769,intra_light_k5,0.8904,0.013499999999999956,0.008600000000000052,4,4
HHAR_SA,4->5,0.8524,compact_k5,0.8885,0.03609999999999991,0.8528,compact_k5,0.8921,0.0393,0.00039999999999995595,1,1
