log_root,dataset,task,source_baseline,source_best_view,source_best,source_delta,source_views_tested,da_baseline,da_best_view,da_best,da_delta,da_views_tested
logs\har_hhar_structure_overnight_20260519_231310,HAR,12->16,0.5698,compact_boundary_light,0.5875,0.01770000000000005,10,0.5046,compact_k8,0.4273,-0.07730000000000004,10
logs\har_hhar_structure_overnight_20260519_231310,HAR,2->11,0.7323,compact_k5,0.7117,-0.02059999999999995,1,0.675,compact_k5,0.7826,0.10759999999999992,1
logs\har_hhar_structure_overnight_20260519_231310,HAR,6->23,0.7133,compact_boundary_light,0.7219,0.008599999999999941,10,0.6591,intra_light_k5,0.6468,-0.012299999999999978,10
logs\har_hhar_structure_overnight_20260519_231310,HAR,7->13,0.8802,compact_k5,0.8919,0.011700000000000044,1,0.8828,compact_k5,0.9118,0.029000000000000026,1
logs\har_hhar_structure_overnight_20260519_231310,HAR,9->18,0.4891,compact_k5,0.6884,0.19930000000000003,1,0.3668,compact_k5,0.4602,0.09339999999999998,1
logs\har_hhar_structure_overnight_20260519_231310,HHAR_SA,0->6,0.3287,compact_k5,0.3404,0.011699999999999988,1,0.2516,compact_k5,0.3821,0.1305,1
logs\har_hhar_structure_overnight_20260519_231310,HHAR_SA,1->6,0.7597,compact_k5,0.7909,0.031200000000000006,1,0.8285,compact_k5,0.8391,0.010599999999999943,1
logs\har_hhar_structure_overnight_20260519_231310,HHAR_SA,2->7,0.4515,compact_k3,0.5738,0.12229999999999996,2,0.2494,compact_k3,0.3666,0.11719999999999997,2
logs\har_hhar_structure_overnight_20260519_231310,HHAR_SA,3->8,0.8683,compact_k8,0.8685,0.000200000000000089,4,0.8769,intra_light_k5,0.8904,0.013499999999999956,4
logs\har_hhar_structure_overnight_20260519_231310,HHAR_SA,4->5,0.8524,compact_k5,0.8885,0.03609999999999991,1,0.8528,compact_k5,0.8921,0.0393,1
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed1_20260520_102422,HAR,12->16,0.5698,compact_boundary_light,0.5875,0.01770000000000005,10,0.5046,compact_k8,0.3016,-0.20300000000000007,10
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed1_20260520_102422,HAR,2->11,0.7323,compact_k5,0.7117,-0.02059999999999995,1,0.675,compact_k5,0.74,0.06499999999999995,1
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed1_20260520_102422,HAR,6->23,0.7133,compact_boundary_light,0.7219,0.008599999999999941,10,0.6591,dynamics_mse,0.6341,-0.025000000000000022,10
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed1_20260520_102422,HAR,7->13,0.8802,compact_k5,0.9015,0.021299999999999986,1,0.8828,compact_k5,0.8913,0.008499999999999952,1
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed1_20260520_102422,HAR,9->18,0.4891,compact_k5,0.6459,0.15680000000000005,1,0.3668,compact_k5,0.5084,0.14159999999999995,1
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed1_20260520_102422,HHAR_SA,0->6,0.3287,compact_k3,0.288,-0.040700000000000014,6,0.2516,noseg_global,0.332,0.08040000000000003,6
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed1_20260520_102422,HHAR_SA,1->6,0.7597,compact_k8,0.7802,0.020499999999999963,3,0.8285,compact_k8,0.8374,0.008900000000000019,3
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed1_20260520_102422,HHAR_SA,2->7,0.4515,compact_k5,0.5254,0.07389999999999997,1,0.2494,compact_k5,0.595,0.34559999999999996,1
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed1_20260520_102422,HHAR_SA,3->8,0.8683,compact_k5,0.8729,0.0046000000000000485,1,0.8769,compact_k5,0.9053,0.02839999999999998,1
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed1_20260520_102422,HHAR_SA,4->5,0.8524,compact_k5,0.8669,0.014499999999999957,1,0.8528,compact_k5,0.7977,-0.05510000000000004,1
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed2_20260520_102422,HAR,12->16,0.5698,compact_boundary_light,0.5875,0.01770000000000005,10,0.5046,compact_k8,0.4611,-0.04350000000000004,10
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed2_20260520_102422,HAR,2->11,0.7323,compact_k5,0.7117,-0.02059999999999995,1,0.675,compact_k5,0.7604,0.08539999999999992,1
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed2_20260520_102422,HAR,6->23,0.7133,compact_boundary_light,0.7219,0.008599999999999941,10,0.6591,dynamics_mse,0.688,0.028899999999999926,10
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed2_20260520_102422,HAR,7->13,0.8802,compact_k5,0.8919,0.011700000000000044,1,0.8828,compact_k5,0.9118,0.029000000000000026,1
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed2_20260520_102422,HAR,9->18,0.4891,compact_k5,0.6596,0.17049999999999998,1,0.3668,compact_k5,0.4747,0.1079,1
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed2_20260520_102422,HHAR_SA,0->6,0.3287,compact_k3,0.2526,-0.0761,2,0.2516,compact_k3,0.3045,0.0529,2
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed2_20260520_102422,HHAR_SA,1->6,0.7597,compact_k3,0.7878,0.028099999999999903,2,0.8285,compact_k3,0.8375,0.009000000000000008,2
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed2_20260520_102422,HHAR_SA,2->7,0.4515,compact_k5,0.5376,0.08609999999999995,1,0.2494,compact_k5,0.5446,0.29519999999999996,1
logs\har_hhar_structure_overnight_har_hhar_compactk5_seed2_20260520_102422,HHAR_SA,3->8,0.8683,compact_k8,0.8847,0.01640000000000008,3,0.8769,compact_k8,0.8927,0.015800000000000036,3
