dataset,task,runs,source_gain_runs,source_baseline,source_best,source_delta,source_best_views,da_gain_runs,da_baseline,da_best,da_delta,da_best_views
HAR,12->16,4,4,0.5698,0.5875,0.01770000000000005,compact_boundary_light:4,0,0.5046,0.387125,-0.11747500000000005,"compact_k8:3, compact_k3:1"
HAR,2->11,4,0,0.7323,0.7117,-0.02059999999999995,compact_k5:4,4,0.675,0.755925,0.08092499999999994,compact_k5:4
HAR,6->23,4,4,0.7133,0.7219,0.008599999999999941,compact_boundary_light:4,1,0.6591,0.653675,-0.005425000000000013,"dynamics_mse:2, intra_light_k5:1, dynamics_cosine:1"
HAR,7->13,4,4,0.8802,0.8967,0.016500000000000015,compact_k5:4,4,0.8828,0.901625,0.01882499999999998,compact_k5:4
HAR,9->18,4,4,0.4891,0.668675,0.179575,compact_k5:4,4,0.3668,0.49319999999999997,0.12639999999999996,compact_k5:4
HHAR_SA,0->6,4,2,0.3287,0.30265,-0.026050000000000004,"compact_k3:3, compact_k5:1",4,0.2516,0.35865,0.10705,"compact_k3:2, compact_k5:1, noseg_global:1"
HHAR_SA,1->6,4,4,0.7597,0.790675,0.030974999999999947,"compact_k3:2, compact_k5:1, compact_k8:1",4,0.8285,0.836075,0.007574999999999998,"compact_k3:2, compact_k5:1, compact_k8:1"
HHAR_SA,2->7,4,4,0.4515,0.552725,0.10122499999999998,"compact_k5:3, compact_k3:1",4,0.2494,0.46802499999999997,0.21862499999999996,"compact_k5:3, compact_k3:1"
HHAR_SA,3->8,4,4,0.8683,0.878475,0.010175000000000073,"compact_k8:2, compact_k5:2",4,0.8769,0.902175,0.025274999999999992,"compact_k5:2, intra_light_k5:1, compact_k8:1"
HHAR_SA,4->5,4,4,0.8524,0.876675,0.024274999999999936,"compact_k5:2, compact_k3:2",2,0.8528,0.834975,-0.017825000000000008,"compact_k5:3, compact_k3:1"
