dataset,task,baseline,best,best_gain,best_view,best_strength,best_strength_rank,structure_view,segment,intra,trend,segment_inter,boundary,dynamics,source_reliability,source_compactness,source_separability,target_margin_ratio,target_assignment_entropy,temporal_mismatch_cv,temporal_mismatch_top20_ratio,uniform_k3_adjusted_compression,uniform_k5_adjusted_compression,uniform_k8_adjusted_compression,dynamics_delta_cosine_mean,suggested_view,suggested_strength_factor
HAR,12->16,0.5046,0.387125,-0.11747500000000005,segmented,medium_high,0.75,"compact_k8:3, compact_k3:1",segmented,,,,,,2.571127037683579,1.9379977955676542,4.982841102282206,0.2662433683872223,0.9707048100912906,0.054970026715802284,0.21846753358840942,0.082196505655682,0.10827876802076043,0.15248015480661806,0.028231238946318626,global,1.0014166326739842
HAR,2->11,0.675,0.755925,0.08092499999999991,segmented,medium,0.5,compact_k5:4,segmented,,,,,,4.435077434742272,1.1445778228734669,5.076295709609985,0.3991253674030304,0.8151224041452048,0.069587056072509,0.2213086485862732,0.07232930117133561,0.1355574343069408,0.1657501652594989,0.02427767589688301,global,1.2
HAR,6->23,0.6591,0.653675,-0.005425000000000013,dynamics,light,0.25,"dynamics_mse:2, intra_light_k5:1, dynamics_cosine:1",segmented,,,,,yes,3.7691090912849687,1.3887808687803223,5.234470367431641,0.28780749440193176,0.8641822158471766,0.09918644352764841,0.23406076431274414,0.132749184443488,0.13553905392151636,0.14007656856704923,0.0024307365529239178,global,1.0935515276898566
HAR,7->13,0.8828,0.901625,0.01882499999999998,segmented,medium,0.5,compact_k5:4,segmented,,,,,,3.2692580219345055,1.528279354891826,4.996342809995015,0.27296239137649536,0.9740781782167904,0.09136010494706373,0.23112079501152039,0.009201304808024375,0.06323587912672454,0.10720645566574173,0.042948950082063675,global,1.0336141444707236
HAR,9->18,0.3668,0.49319999999999997,0.12639999999999996,segmented,medium,0.5,compact_k5:4,segmented,,,,,,2.3523735859659674,1.3264120487877018,3.1202190200487774,0.05322965979576111,0.8707388296119742,0.052494906595883635,0.21809369325637817,0.10889644312483947,0.10523124515795128,0.13842723296996404,0.005631656385958195,global,0.9011515771235231
HHAR_SA,0->6,0.2516,0.35865,0.10705000000000003,global,medium,0.5,"compact_k3:2, compact_k5:1, noseg_global:1",noseg,,,,,,1.1786853710837752,3.441652979577581,4.056627198060354,0.1042264923453331,0.6814163736580628,0.03701408261497665,0.21286232769489288,0.04459037056997067,0.08426011581771749,0.11945148652862607,0.02610994130373001,global,0.902585142922598
HHAR_SA,1->6,0.8285,0.836075,0.007574999999999998,segmented,medium_high,0.75,"compact_k3:2, compact_k5:1, compact_k8:1",segmented,,,,,,5.029586167691615,1.3035460401376089,6.556302162011464,0.14328086376190186,0.9005820585382431,0.03291487209255699,0.2124183475971222,0.01964502735330483,0.036062027481129806,0.019483112936817103,-0.02682444266974926,global,1.0231553545132748
HHAR_SA,2->7,0.2494,0.46802499999999997,0.21862499999999996,segmented,medium,0.5,"compact_k5:3, compact_k3:1",segmented,,,,,,1.265765034899974,2.6868261931890465,3.400891915957133,0.06975091248750687,0.791549021436655,0.04860879040825021,0.21790508925914764,0.20541714461266428,0.1688219029757614,0.1694823310060949,0.04666037857532501,global,0.8951743433511631
HHAR_SA,3->8,0.8769,0.902175,0.025274999999999936,segmented,light,0.25,"compact_k5:2, intra_light_k5:1, compact_k8:1",segmented,,,,,,3.2921982983159697,1.3850364614752488,4.5598179737726845,0.27056607604026794,0.9868886282252279,0.07950434576572821,0.2252674698829651,0.0034504974879819936,0.10080367697888683,0.07468902570059072,0.000565676367841661,global,1.03242107303497
HHAR_SA,4->5,0.8528,0.834975,-0.01782499999999998,segmented,medium,0.5,"compact_k5:3, compact_k3:1",segmented,,,,,,3.6643976703007564,1.3199139855809134,4.836693398157755,0.22135068476200104,0.7569582948766702,0.03417198462814222,0.21394042670726776,0.15499410039250125,0.12846170299307022,0.17114803259024156,0.027210015803575516,global,1.069714456282578
