class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.97,0.97,0.97,794,0.84,0.99,0.91,794,-0.05999999999999994
horsebeans,0.62,0.39,0.48,66,0.82,0.14,0.23,66,-0.24999999999999997
meadow,0.76,0.95,0.84,2526,0.72,0.98,0.83,2526,-0.010000000000000009
spring_barley,0.97,0.28,0.44,2767,0.91,0.58,0.71,2767,0.26999999999999996
spring_oat,0.12,0.75,0.21,296,0.17,0.65,0.27,296,0.060000000000000026
unknown,0.5,0.51,0.5,1460,0.75,0.4,0.52,1460,0.020000000000000018
winter_barley,0.97,0.69,0.81,791,0.94,0.84,0.89,791,0.07999999999999996
winter_rapeseed,0.99,0.93,0.96,569,0.99,0.97,0.98,569,0.020000000000000018
winter_rye,0.64,0.73,0.68,749,0.6,0.78,0.68,749,0.0
winter_triticale,0.08,0.57,0.14,80,0.07,0.6,0.12,80,-0.020000000000000018
winter_wheat,0.9,0.65,0.76,1968,0.97,0.55,0.7,1968,-0.06000000000000005
