class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.98,0.87,0.92,3801,0.95,0.98,0.97,3801,0.04999999999999993
horsebeans,0.59,0.54,0.56,97,0.44,0.86,0.58,97,0.019999999999999907
meadow,0.96,0.94,0.95,10495,0.95,0.99,0.97,10495,0.020000000000000018
spring_barley,0.63,0.35,0.45,78,0.6,0.54,0.57,78,0.11999999999999994
spring_oat,0.05,0.33,0.08,9,0.08,0.44,0.13,9,0.05
unknown,0.63,0.58,0.6,2314,0.92,0.44,0.6,2314,0.0
winter_barley,0.58,0.93,0.71,879,0.78,0.96,0.86,879,0.15000000000000002
winter_rapeseed,0.96,0.98,0.97,747,0.94,0.99,0.96,747,-0.010000000000000009
winter_rye,0.0,0.25,0.01,4,0.0,0.0,0.0,4,-0.01
winter_triticale,0.55,0.58,0.57,539,0.53,0.73,0.61,539,0.040000000000000036
winter_wheat,0.95,0.94,0.95,4188,0.96,0.96,0.96,4188,0.010000000000000009
