class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.96,0.99,0.98,2018,0.86,1.0,0.93,2018,-0.04999999999999993
horsebeans,0.41,0.26,0.32,88,1.0,0.4,0.57,88,0.24999999999999994
meadow,0.98,0.97,0.98,3698,0.99,0.96,0.97,3698,-0.010000000000000009
spring_barley,0.22,0.73,0.34,74,0.29,0.32,0.31,74,-0.030000000000000027
spring_oat,1.0,0.02,0.03,131,0.93,0.11,0.19,131,0.16
spring_peas,0.0,0.0,0.0,18,0.26,0.33,0.29,18,0.29
spring_wheat,0.0,0.0,0.0,12,0.05,0.17,0.08,12,0.08
unknown,0.79,0.71,0.75,1016,0.8,0.53,0.64,1016,-0.10999999999999999
winter_barley,0.78,0.98,0.87,871,0.65,1.0,0.78,871,-0.08999999999999997
winter_rapeseed,0.99,0.99,0.99,210,0.98,0.99,0.98,210,-0.010000000000000009
winter_rye,0.49,0.36,0.41,118,0.53,0.08,0.15,118,-0.26
winter_triticale,0.59,0.34,0.43,308,0.35,0.53,0.42,308,-0.010000000000000009
winter_wheat,0.85,0.87,0.86,1271,0.93,0.72,0.81,1271,-0.04999999999999993
