class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.74,0.97,0.84,1351,0.56,0.99,0.71,1351,-0.13
horsebeans,0.25,0.01,0.01,136,0.45,0.07,0.13,136,0.12000000000000001
meadow,0.76,0.64,0.7,3095,0.81,0.23,0.36,3095,-0.33999999999999997
spring_barley,0.07,0.17,0.1,53,0.1,0.19,0.13,53,0.03
spring_oat,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.0
spring_peas,0.86,0.07,0.13,86,0.29,0.28,0.28,86,0.15000000000000002
spring_wheat,0.0,0.0,0.0,7,0.17,0.14,0.15,7,0.15
unknown,0.79,0.79,0.79,6589,0.72,0.72,0.72,6589,-0.07000000000000006
winter_barley,0.52,0.86,0.65,801,0.41,0.95,0.57,801,-0.08000000000000007
winter_rapeseed,0.84,0.93,0.89,519,0.82,0.97,0.88,519,-0.010000000000000009
winter_rye,0.05,0.44,0.08,9,0.0,0.0,0.0,9,-0.08
winter_triticale,0.35,0.11,0.17,175,0.23,0.15,0.19,175,0.01999999999999999
winter_wheat,0.92,0.87,0.89,5164,0.9,0.91,0.9,5164,0.010000000000000009
