class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.98,0.98,0.98,973,0.99,0.98,0.99,973,0.010000000000000009
horsebeans,0.79,0.8,0.79,132,0.75,0.86,0.8,132,0.010000000000000009
meadow,0.96,0.97,0.96,2286,0.98,0.95,0.96,2286,0.0
spring_barley,0.27,0.51,0.36,47,0.27,0.53,0.36,47,0.0
spring_peas,0.94,0.91,0.93,68,0.86,0.93,0.89,68,-0.040000000000000036
sunflowers,0.98,0.99,0.99,2826,0.97,0.99,0.98,2826,-0.010000000000000009
winter_barley,0.9,0.9,0.9,681,0.94,0.91,0.92,681,0.020000000000000018
winter_oat,0.75,0.32,0.44,38,0.57,0.53,0.55,38,0.11000000000000004
winter_rapeseed,0.99,0.96,0.97,434,0.99,0.97,0.98,434,0.010000000000000009
winter_triticale,0.65,0.37,0.47,125,0.69,0.27,0.39,125,-0.07999999999999996
winter_wheat,0.97,0.97,0.97,4489,0.97,0.98,0.98,4489,0.010000000000000009
