class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.93,0.99,0.96,1974,0.83,0.99,0.9,1974,-0.05999999999999994
horsebeans,1.0,0.37,0.54,78,0.84,0.87,0.86,78,0.31999999999999995
meadow,0.98,0.96,0.97,3673,0.98,0.79,0.87,3673,-0.09999999999999998
spring_barley,0.2,0.19,0.19,58,0.24,0.71,0.36,58,0.16999999999999998
spring_peas,1.0,0.06,0.12,16,1.0,0.06,0.12,16,0.0
sunflowers,0.1,0.75,0.18,8,0.15,0.75,0.25,8,0.07
unknown,0.71,0.71,0.71,1306,0.58,0.65,0.61,1306,-0.09999999999999998
winter_barley,0.88,0.92,0.9,964,0.97,0.94,0.95,964,0.04999999999999993
winter_oat,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
winter_peas,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
winter_rapeseed,0.97,0.97,0.97,218,0.91,0.99,0.95,218,-0.020000000000000018
winter_triticale,0.46,0.55,0.5,264,0.46,0.71,0.56,264,0.06000000000000005
winter_wheat,0.91,0.81,0.86,1274,0.95,0.88,0.92,1274,0.06000000000000005
