class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.97,0.82,0.89,826,0.78,0.96,0.86,826,-0.030000000000000027
horsebeans,0.47,0.13,0.2,69,0.72,0.33,0.46,69,0.26
meadow,0.73,0.61,0.67,2528,0.87,0.46,0.6,2528,-0.07000000000000006
spring_barley,0.86,0.19,0.31,2772,0.88,0.64,0.74,2772,0.43
spring_peas,0.67,0.19,0.3,84,0.76,0.33,0.46,84,0.16000000000000003
sunflowers,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
unknown,0.36,0.57,0.44,2434,0.37,0.42,0.39,2434,-0.04999999999999999
winter_barley,0.38,0.83,0.52,730,0.79,0.89,0.84,730,0.31999999999999995
winter_oat,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0
winter_peas,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
winter_rapeseed,0.96,0.93,0.94,588,0.97,0.93,0.95,588,0.010000000000000009
winter_triticale,0.15,0.25,0.19,57,0.21,0.25,0.22,57,0.03
winter_wheat,0.75,0.91,0.82,1977,0.6,0.99,0.75,1977,-0.06999999999999995
