source,target,source_dataset,target_dataset,closed_set,source_phase_partition_mode,source_phase_count,target_phase_partition_mode,target_phase_count,raw_source_phase_partition_mode,raw_source_phase_count,raw_target_phase_partition_mode,raw_target_phase_count,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,raw_phase_separability_gap_p1,raw_source_phase_separability_p1,source_phase_compactness_p2,raw_source_phase_margin_p5,raw_source_phase_separability_p5,raw_source_phase_margin_p1,target_phase_compactness_p1,source_phase_compactness_p1,target_phase_compactness_p5,source_phase_margin_p3,target_phase_compactness_p2,phase_compactness_gap_p1,target_phase_separability_p3,target_phase_compactness_p3,source_phase_compactness_p4,source_phase_compactness_p3,raw_source_phase_margin_p4,phase_compactness_gap_p5,raw_source_phase_margin_p2,source_phase_compactness_p5,raw_phase_separability_gap_p5,raw_target_phase_compactness_p3,phase_margin_gap_p3,target_phase_margin_p3,phase_margin_gap_p4,phase_margin_gap_p5,target_phase_margin_p5,target_phase_margin_p4,phase_margin_gap_p1,target_phase_margin_p1,raw_source_phase_compactness_p2,target_phase_compactness_p4,phase_margin_gap_p2,target_phase_margin_p2,source_phase_separability_p3,raw_target_phase_separability_p4,raw_phase_margin_gap_p4,raw_source_phase_separability_p2,raw_target_phase_margin_p3,raw_phase_margin_gap_p1,raw_phase_margin_gap_p5,raw_phase_margin_gap_p2,raw_phase_margin_gap_p3,raw_target_phase_margin_p1,raw_target_phase_margin_p2,raw_target_phase_margin_p5,target_phase_separability_p1,raw_target_phase_compactness_p4,raw_target_phase_compactness_p1,raw_target_phase_margin_p4,raw_target_phase_separability_p1,phase_separability_gap_p5,raw_source_phase_separability_p4,source_phase_margin_p2,phase_separability_gap_p3,raw_source_phase_separability_p3,source_phase_separability_p1,raw_target_phase_compactness_p2,raw_phase_compactness_gap_p3,raw_source_phase_compactness_p3,target_phase_separability_p5,raw_source_phase_margin_p3,raw_phase_separability_gap_p2,raw_source_phase_compactness_p4,phase_compactness_gap_p3,raw_phase_compactness_gap_p2,raw_phase_compactness_gap_p1,source_phase_margin_p4,source_phase_separability_p5,raw_phase_separability_gap_p3,raw_source_phase_compactness_p5,source_phase_separability_p2,phase_separability_gap_p2,source_phase_separability_p4,raw_target_phase_separability_p3,raw_phase_compactness_gap_p4,raw_phase_separability_gap_p4,source_phase_margin_p5,target_phase_separability_p4,phase_compactness_gap_p2,raw_source_phase_compactness_p1,target_phase_separability_p2,raw_phase_compactness_gap_p5,phase_separability_gap_p1,raw_target_phase_separability_p2,phase_compactness_gap_p4,raw_target_phase_compactness_p5,source_phase_margin_p1,raw_target_phase_separability_p5,phase_separability_gap_p4,source_samples,target_samples,source_phase_boundary_1,target_phase_boundary_1,raw_source_phase_boundary_1,raw_target_phase_boundary_1,source_phase_boundary_2,target_phase_boundary_2,raw_source_phase_boundary_2,raw_target_phase_boundary_2,source_phase_boundary_3,target_phase_boundary_3,raw_source_phase_boundary_3,raw_target_phase_boundary_3,source_phase_boundary_4,target_phase_boundary_4,raw_source_phase_boundary_4,raw_target_phase_boundary_4,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,structure,5,structure,5,structure,5,structure,5,11,1,timematch_30TXT_to_31TCJ_closedset_noshift,0.7945527984749808,0.9578964748617188,0.11374003440141678,0.23531368374824524,1.0895928144454956,0.09561069309711456,0.14493295550346375,0.12133369594812393,0.9744606018066406,0.8644698262214661,1.3671602010726929,0.516718864440918,0.8246778845787048,-0.10999077558517456,1.6700416803359985,0.8350980877876282,0.8326598405838013,0.7010877132415771,0.14043205976486206,-0.6205893754959106,0.17981918156147003,0.7465708255767822,0.07400878518819809,668.1241455078125,-0.05695986747741699,0.573678731918335,0.15576982498168945,0.02507653832435608,0.1615670770406723,0.26890212297439575,-0.035490483045578,0.32849156856536865,335.4552307128906,1.1010092496871948,-0.1539606750011444,0.4766664505004883,1.1665568351745605,0.20851311087608337,-0.0009262263774871826,0.5935841202735901,0.3239578604698181,0.010967448353767395,0.033831432461738586,-0.025070205330848694,-0.26175805553793907,0.11036624759435654,0.20488938689231873,0.06177926063537598,0.6678937077522278,616.3182983398438,499.68328857421875,0.14135828614234924,0.12157364934682846,0.02387090027332306,0.26774656772613525,0.32270577549934387,-0.503484845161438,0.045899730175733566,0.514343798160553,478.30364990234375,-533.3065032958984,134.81764221191406,0.15658214688301086,0.062199804931879044,-0.26795393228530884,311.335693359375,-0.13401037454605103,-142.84841918945312,-223.9051513671875,0.4246719479560852,0.18045304715633392,-1.3796756453812122,174.82595825195312,0.5278674960136414,-0.6606773734092712,0.7048691511154175,1.4255753755569458,-304.98260498046875,0.05923345685005188,0.18664361536502838,0.3946978449821472,0.26491492986679077,275.77813720703125,1.1885448694229126,25.021148681640625,-0.1535499095916748,0.8615380525588989,-0.26834940910339355,149.8048095703125,0.29300108551979065,0.07092417031526566,0.31017130613327026,106028,73493,3,3,16,3,6,9,19,13,9,18,23,17,19,26,26,27,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,structure,5,structure,5,structure,5,structure,5,11,1,timematch_30TXT_to_32VNH_closedset_noshift,0.6581404601787256,0.9479606188466948,-0.1090751588344574,0.23531368374824524,0.8401904702186584,0.09561069309711456,0.14493295550346375,0.12133369594812393,1.0942010879516602,0.9925994873046875,0.987472653388977,0.47152724862098694,1.111444115638733,-0.10160160064697266,0.8664730191230774,0.8756740689277649,0.8113215565681458,0.931060791015625,0.14043205976486206,-0.15311497449874878,0.17981918156147003,0.8343576788902283,-0.030029773712158203,183.7206573486328,-87.60474380850792,88.0762710571289,-59.257536977529526,-89.77386637032032,89.9607162475586,59.67538070678711,-109.58799269795418,109.9014663696289,335.4552307128906,1.4471484422683716,-85.28344359993935,85.7669448852539,0.7381883859634399,0.32509180903434753,-1.2574318051338196,0.5935841202735901,4.521576404571533,-3.676428459584713,-3.6311980932950974,-8.84796230494976,-4.459376599639654,3.797762155532837,9.02778148651123,3.726808786392212,0.694969892501831,379.26336669921875,254.91220092773438,1.3978638648986816,0.34438884258270264,-0.15769988298416138,0.26774656772613525,0.48350128531455994,-0.12828463315963745,0.045899730175733566,0.5741956233978271,443.0258483886719,-48.90301513671875,134.81764221191406,0.33381009101867676,0.062199804931879044,-0.7133330702781677,311.335693359375,0.05538672208786011,-107.57061767578125,20.865936279296875,0.4178437292575836,0.17611020803451538,-0.19153303280472755,174.82595825195312,1.0957905054092407,-0.13512754440307617,0.8522951006889343,0.23743276298046112,-67.92767333984375,-0.05734524130821228,0.18684987723827362,0.40114545822143555,-0.27125364542007446,275.77813720703125,1.230918049812317,-74.34477233886719,-0.1207742691040039,1.3069171905517578,-0.6358268857002258,249.1707305908203,0.3134736716747284,0.17496272921562195,0.4511496424674988,106028,48123,6,5,16,9,11,12,19,12,16,18,23,23,19,27,26,26,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,structure,5,structure,5,structure,5,structure,5,11,1,timematch_30TXT_to_33UVP_closedset_noshift,0.8135698493777221,0.9696019629225736,0.08105690777301788,0.23531368374824524,1.268978476524353,0.09561069309711456,0.14493295550346375,0.12133369594812393,1.2200722694396973,1.003083348274231,1.1450855731964111,0.5257408022880554,1.5065386295318604,-0.2169889211654663,1.7821460962295532,0.9146348237991333,1.0510175228118896,0.8776435852050781,0.14043205976486206,-0.2608967423439026,0.17981918156147003,0.8841888308525085,-0.05202728509902954,364.9145202636719,-0.16543620824813843,0.6911770105361938,0.17293965816497803,0.049996837973594666,0.1400890052318573,0.2786886692047119,0.09194530546665192,0.19957931339740753,335.4552307128906,0.7484780550003052,-0.19616883993148804,0.5178731083869934,1.237680435180664,1.3074606657028198,-0.08150766789913177,0.5935841202735901,0.2192256897687912,0.002162560820579529,-0.02079153060913086,-0.04947379231452942,-0.15702588483691216,0.1191711351275444,0.22929297387599945,0.11640222370624542,0.27361956238746643,1406.356689453125,223.39930725097656,0.22193972766399384,0.15425677597522736,0.02869667112827301,0.26774656772613525,0.32170426845550537,-0.5444656610488892,0.045899730175733566,0.5673378109931946,370.571044921875,-230.0968780517578,134.81764221191406,0.14975778758525848,0.062199804931879044,-0.6561091542243958,311.335693359375,-0.036991238594055176,-35.115814208984375,52.37882995605469,0.45162832736968994,0.1784544587135315,-0.22039424255490303,174.82595825195312,0.558710515499115,-0.7585271000862122,0.7518860101699829,0.2662939727306366,-1095.02099609375,-1.0397140979766846,0.19008584320545197,0.3089154362678528,-0.23756015300750732,275.77813720703125,1.3172376155853271,-46.03831481933594,0.29371824860572815,1.2496932744979858,0.3025394678115845,220.86427307128906,0.29152461886405945,0.1969602406024933,0.4429705739021301,106028,42731,3,6,16,6,6,10,19,12,9,20,23,17,18,25,26,20,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,structure,5,structure,5,structure,5,structure,5,12,1,timematch_31TCJ_to_30TXT_closedset_noshift,0.6513283731186127,0.9263060182558919,-0.110898457467556,0.12085629254579544,0.3916992247104645,0.05872982740402222,0.0682501420378685,0.10428790003061295,0.4489421546459198,0.5168925523757935,0.2891463041305542,0.5076837539672852,0.2732982337474823,0.06795039772987366,0.3423175811767578,0.2639119029045105,0.5723150968551636,0.40280410647392273,0.13181829452514648,0.36406129598617554,0.19164124131202698,0.6532076001167297,-0.06725894659757614,134.56130981445312,0.19039428234100342,0.31728947162628174,-0.13539038598537445,-0.020912185311317444,0.160358265042305,0.3685906231403351,0.03380027413368225,0.2501046061515808,483.4267578125,0.3189990520477295,-0.03713303804397583,0.43866869807243347,1.4689865112304688,0.25210830569267273,-0.0021619945764541626,0.839356541633606,0.06884600967168808,-0.0091024711728096,-0.028095409274101257,0.02476753294467926,0.22382206469774246,0.11339037120342255,0.16687370836734772,0.08682523667812347,0.49583545327186584,310.2552185058594,277.0661315917969,0.13398028910160065,0.23175475001335144,-0.03412066400051117,0.1994227170944214,0.40153566002845764,1.126668930053711,1.3665719032287598,0.6164167523384094,332.612060546875,545.8504333496094,680.4117431640625,0.14779019355773926,0.29266807436943054,0.2782101035118103,619.5103149414062,0.13889220356941223,150.814697265625,224.12942504882812,0.23320023715496063,0.11366952955722809,1.310849390923977,149.06671142578125,1.100968360900879,0.13102573156356812,0.3261793851852417,0.05572251230478287,309.2550964355469,-0.05268558859825134,0.13944607973098755,0.600499153137207,0.11840099096298218,501.195556640625,0.9699426293373108,-26.34661865234375,0.12058129906654358,0.5611464381217957,0.2533160448074341,175.413330078125,0.28390488028526306,0.13550908863544464,-0.27431976795196533,74156,106107,3,6,3,16,9,10,13,19,18,13,17,23,26,19,27,26,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,structure,5,structure,5,structure,5,structure,5,12,1,timematch_31TCJ_to_32VNH_closedset_noshift,0.5156133774457572,0.743421897060711,-0.2235325500369072,0.12085629254579544,0.39536023139953613,0.05872982740402222,0.0682501420378685,0.10428790003061295,0.3776599168777466,0.4917788803577423,0.32851850986480713,0.5079662203788757,0.4306640923023224,0.11411896347999573,0.704806387424469,0.32829728722572327,0.5375525951385498,0.3832927644252777,0.13181829452514648,0.31339818239212036,0.19164124131202698,0.6419166922569275,-0.10671258717775345,183.7206573486328,-158.7737873196602,159.28175354003906,-103.93113572895527,-156.8923170864582,157.03407287597656,104.16985321044922,-184.32026144862175,184.60317993164062,483.4267578125,0.4412289559841156,-129.27110362052917,129.67286682128906,1.3909454345703125,0.32509180903434753,-1.2660455703735352,0.839356541633606,4.521576404571533,-3.693474255502224,-3.6680789589881897,-8.836140245199203,-4.228908330202103,3.797762155532837,9.02778148651123,3.726808786392212,0.7148018479347229,379.26336669921875,254.91220092773438,1.3978638648986816,0.34438884258270264,-0.19206324964761734,0.1994227170944214,0.4017632007598877,0.6861390471458435,1.3665719032287598,0.6080314517021179,443.0258483886719,496.6910858154297,680.4117431640625,0.31363189220428467,0.29266807436943054,-0.46756064891815186,619.5103149414062,0.05499547719955444,40.400909423828125,246.28335571289062,0.2387174814939499,0.12156864255666733,1.1291391402482986,149.06671142578125,1.095626950263977,-0.07836735248565674,0.34050559997558594,0.23743276298046112,240.2469482421875,-0.12566909193992615,0.14175578951835632,0.3231936991214752,-0.035303860902786255,501.195556640625,1.1739943027496338,-100.10401916503906,-0.10677039623260498,1.3069171905517578,0.0963236391544342,249.1707305908203,0.2829184830188751,0.17496272921562195,0.017311900854110718,74156,48123,3,5,3,9,9,12,13,12,18,18,17,23,26,27,27,26,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,structure,5,structure,5,structure,5,structure,5,12,1,timematch_31TCJ_to_33UVP_closedset_noshift,0.6545428390632363,0.957550358253346,-0.033400483429431915,0.12085629254579544,0.4099773168563843,0.05872982740402222,0.0682501420378685,0.10428790003061295,0.41598764061927795,0.4953986406326294,0.26194003224372864,0.49747711420059204,0.5083773136138916,0.07941100001335144,1.639240026473999,0.3267543315887451,0.5625418424606323,0.40275663137435913,0.13181829452514648,0.3435085713863373,0.19164124131202698,0.6054486036300659,-0.1287100985646248,364.9145202636719,-0.11946964263916016,0.6169467568397522,-0.3363947421312332,-0.038849666714668274,0.18073543906211853,0.5687873363494873,0.09770810604095459,0.1776942014694214,483.4267578125,0.4346134066581726,-0.02345094084739685,0.4167434573173523,1.30659818649292,1.3074606657028198,-0.09012143313884735,0.839356541633606,0.2192256897687912,-0.014883235096931458,-0.057672396302223206,-0.03765173256397247,0.07344238460063934,0.1191711351275444,0.22929297387599945,0.11640222370624542,0.2159874439239502,1406.356689453125,223.39930725097656,0.22193972766399384,0.15425677597522736,-0.045778028666973114,0.1994227170944214,0.39329251646995544,-0.3326418399810791,1.3665719032287598,0.59637850522995,370.571044921875,315.4972229003906,680.4117431640625,0.16364982724189758,0.29266807436943054,-0.4103367328643799,619.5103149414062,0.07600229978561401,112.855712890625,277.79624938964844,0.2323925942182541,0.11787179857492447,1.1002779304981232,149.06671142578125,1.0027352571487427,0.051393091678619385,0.3117797076702118,0.2662939727306366,-786.8463745117188,-1.1080379486083984,0.14188577234745026,1.1554443836212158,-0.09839999675750732,501.195556640625,0.9513421654701233,-71.79756164550781,0.38039106130599976,1.2496932744979858,0.12792843580245972,220.86427307128906,0.275402307510376,0.1969602406024933,-0.843664675951004,74156,42731,3,6,3,6,9,10,13,12,18,17,17,17,26,20,27,20,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,structure,5,structure,5,structure,5,structure,5,12,1,timematch_32VNH_to_30TXT_closedset_noshift,0.5682796658061672,0.958042702731484,-0.07896316796541214,0.0794692412018776,0.2781531810760498,0.05414534732699394,0.03978513926267624,0.0698949545621872,0.2584511935710907,0.28478968143463135,0.21257366240024567,0.31739962100982666,0.21267203986644745,0.02633848786354065,0.5819286704063416,0.24845047295093536,0.23333202302455902,0.1979181170463562,0.08052527159452438,0.0983707457780838,0.1222417876124382,0.31094440817832947,-0.07423916459083557,185.241455078125,-0.04434522986412048,0.36174485087394714,0.12703031301498413,0.012796729803085327,0.1689215749502182,0.32982030510902405,-0.09390859305858612,0.31248345971107483,364.2541809082031,0.21728436648845673,-0.08510640263557434,0.4146907925605774,0.43129876255989075,0.4005037844181061,-0.09271878749132156,0.2234310656785965,0.09761818498373032,-0.04207456111907959,-0.02306186780333519,-0.05737418681383133,-0.018474489450454712,0.11196951568126678,0.17961597442626953,0.07720721513032913,0.451213002204895,327.6715393066406,409.2525939941406,0.17324405908584595,0.15843240916728973,0.024250656366348267,0.21902036666870117,0.32958438992500305,-0.1506299078464508,0.056327976286411285,0.37540242075920105,407.1723327636719,-22.684097290039062,162.55735778808594,0.1458282619714737,0.0791436955332756,-0.12213091552257538,334.7867126464844,-0.05053235590457916,-42.91815185546875,-234.60694885253906,0.4568506181240082,0.17007891833782196,-0.08635655790567398,222.9741668701172,0.9556584358215332,0.2752596139907837,0.8085550665855408,0.14268453419208527,7.11517333984375,-0.1814834177494049,0.18171830475330353,0.6676927208900452,0.06548114120960236,174.64564514160156,0.6803988218307495,42.40586853027344,-0.07581058144569397,0.3455619812011719,0.016047656536102295,180.56829833984375,0.2185748666524887,0.11402430385351181,0.1408623456954956,53823,104447,6,6,5,5,12,13,12,9,15,16,23,16,18,19,26,19,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,structure,5,structure,5,structure,5,structure,5,12,1,timematch_32VNH_to_31TCJ_closedset_noshift,0.45307837369305637,0.9231816943612094,-0.03504402935504913,0.0794692412018776,0.23482102155685425,0.05414534732699394,0.03978513926267624,0.0698949545621872,0.24446827173233032,0.29121148586273193,0.32166406512260437,0.32511910796165466,0.21934476494789124,0.04674321413040161,0.6737127304077148,0.3017364740371704,0.18800824880599976,0.2529104948043823,0.08052527159452438,-0.04895681142807007,0.1222417876124382,0.2727072536945343,-0.038202524185180664,1633.7183837890625,-0.010658442974090576,0.33577755093574524,0.14776450395584106,0.007542967796325684,0.16904783248901367,0.23230844736099243,-0.03229382634162903,0.2976611852645874,364.2541809082031,0.25625866651535034,-0.3052681237459183,0.46960440278053284,0.9426843523979187,0.19513799250125885,-0.05294399708509445,0.2234310656785965,0.3397771120071411,-0.03538481891155243,-0.01288909837603569,-0.07510928064584732,-0.2606334164738655,0.10527977347373962,0.19735106825828552,0.06703444570302963,0.5563331246376038,616.1336059570312,513.219970703125,0.13346926867961884,0.11451327055692673,0.01887361705303192,0.21902036666870117,0.16433627903461456,0.26897162199020386,0.056327976286411285,0.6059516072273254,444.0799560546875,-1471.1610260009766,162.55735778808594,0.14335903525352478,0.0791436955332756,-0.3854117840528488,334.7867126464844,-0.048825979232788086,-79.82577514648438,-338.57432556152344,0.3800729513168335,0.1622326523065567,-1.0567891225218773,222.9741668701172,0.15759851038455963,-0.9155624955892563,0.5779500603675842,1.1131170988082886,-281.3468933105469,0.023882374167442322,0.17659080028533936,0.2880204916000366,0.015476256608963013,174.64564514160156,1.073161005973816,68.99440002441406,0.04961848258972168,0.6088428497314453,-0.06825041770935059,153.97976684570312,0.2653673589229584,0.0779876634478569,0.2899295687675476,53823,57128,3,3,5,3,6,17,12,14,12,20,23,17,18,26,26,27,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,structure,5,structure,5,structure,5,structure,5,12,1,timematch_32VNH_to_33UVP_closedset_noshift,0.6702959698139771,0.9489481785531042,-0.04091809689998627,0.0794692412018776,0.2575320303440094,0.05414534732699394,0.03978513926267624,0.0698949545621872,0.35179653763771057,0.30487942695617676,0.1902260184288025,0.32199105620384216,0.27804499864578247,-0.046917110681533813,1.8055381774902344,0.21163836121559143,0.21269197762012482,0.28032487630844116,0.08052527159452438,0.10643789172172546,0.1222417876124382,0.29666391015052795,-0.10278322547674179,328.0874938964844,-0.3675651252269745,0.6895561814308167,-0.10919928550720215,0.001459166407585144,0.175135999917984,0.4888412654399872,0.09533388912677765,0.17235122621059418,364.2541809082031,0.24739937484264374,-0.2292223870754242,0.39739373326301575,0.9698092341423035,0.8307576775550842,-0.09329725056886673,0.2234310656785965,0.1851229965686798,-0.025236167013645172,-0.031400006264448166,-0.06784749776124954,-0.1059793010354042,0.09513112157583237,0.19008928537368774,0.08554535359144211,0.1930837482213974,1346.679931640625,215.0449981689453,0.1738225221633911,0.12038733810186386,0.006025969982147217,0.21902036666870117,0.16817134618759155,-0.8357289433479309,0.056327976286411285,0.5447277426719666,370.4739990234375,-165.53013610839844,162.55735778808594,0.15661154687404633,0.0791436955332756,-0.8863897770643234,334.7867126464844,0.06868651509284973,-6.219818115234375,-40.39935302734375,0.37964197993278503,0.16263751685619354,-0.12797420471906662,222.9741668701172,0.16227610409259796,-1.0214248150587082,0.5934783220291138,0.1843021810054779,-1011.8932189941406,-0.6117373108863831,0.17659516632556915,1.100429654121399,-0.02051296830177307,174.64564514160156,1.1837009191513062,7.1520233154296875,0.35164399445056915,1.10982084274292,-0.03470739722251892,215.8221435546875,0.2676851153373718,0.14256836473941803,-0.5069513320922852,53823,43959,3,6,5,6,6,13,12,12,12,16,23,17,18,20,26,20,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,structure,5,structure,5,structure,5,structure,5,10,1,timematch_33UVP_to_30TXT_closedset_noshift,0.7142810780316066,0.9255609703850479,-0.03439916670322418,0.14383135735988617,0.4813138246536255,0.09877236187458038,0.16808375716209412,0.10556018352508545,0.3491368293762207,0.48633599281311035,0.21823325753211975,0.5698214769363403,0.21928095817565918,0.13719916343688965,0.3458738327026367,0.22281399369239807,0.2445196956396103,0.28112655878067017,0.19715380668640137,0.14236360788345337,0.2138698548078537,0.3605968654155731,0.056918539106845856,189.98590087890625,0.2366357147693634,0.33318576216697693,-0.1445372998714447,-0.03660084307193756,0.1616634726524353,0.34693560004234314,-0.15060760080814362,0.32198119163513184,369.9520568847656,0.2288549542427063,-0.011352121829986572,0.48227348923683167,1.3240057229995728,0.463175892829895,0.001277342438697815,1.2332926988601685,0.10594356060028076,-0.012477099895477295,0.013069398701190948,0.029610320925712585,0.09973128139972687,0.11803728342056274,0.1842595338821411,0.08570296317338943,0.41992703080177307,330.7857971191406,419.2727966308594,0.19587646424770355,0.17823052406311035,-0.04682829976081848,0.9838376641273499,0.4709213674068451,0.978131890296936,0.20753996074199677,0.22384846210479736,406.64288330078125,133.39633178710938,323.3822326660156,0.14884550869464874,0.20567484200000763,0.8981666266918182,1381.3709716796875,0.058312565088272095,-36.690826416015625,-200.7292938232422,0.20239830017089844,0.10201720893383026,0.048429444432258606,217.96661376953125,1.616988182067871,0.7274945378303528,0.21285796165466309,0.15911051630973816,1050.5851745605469,0.5206617712974548,0.12506262958049774,0.5927162766456604,0.2620328664779663,218.5435028076172,0.8894936442375183,41.29835510253906,-0.1960785686969757,0.3351260721683502,0.01566474139690399,176.6682586669922,0.17137359082698822,0.11116521805524826,-0.3798583149909973,43809,104138,6,6,6,5,11,9,12,9,20,13,17,16,26,19,20,19,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift
