log_root,dataset,task,source_baseline,source_best_view,source_best,source_delta,source_views_tested,da_baseline,da_best_view,da_best,da_delta,da_views_tested
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed1,HAR,12->16,0.5698,compact_k3,0.5875,0.01770000000000005,7,0.5046,compact_k8,0.3094,-0.19520000000000004,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed1,HAR,2->11,0.7323,intra_light_k5,0.7498,0.01750000000000007,7,0.675,compact_k5,0.7721,0.09709999999999996,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed1,HAR,6->23,0.7133,compact_k5,0.7219,0.008599999999999941,7,0.6591,dynamics_cosine,0.6482,-0.01090000000000002,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed1,HAR,7->13,0.8802,compact_k3,0.9015,0.021299999999999986,7,0.8828,dynamics_cosine,0.9022,0.019399999999999973,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed1,HAR,9->18,0.4891,compact_k5,0.6883,0.19920000000000004,7,0.3668,compact_k5,0.5614,0.1946,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed1,HHAR_SA,0->6,0.3287,compact_k8,0.2896,-0.03909999999999997,7,0.2516,compact_k3,0.2271,-0.024499999999999994,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed1,HHAR_SA,1->6,0.7597,compact_k3,0.821,0.06129999999999991,7,0.8285,dynamics_mse,0.8697,0.041200000000000014,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed1,HHAR_SA,2->7,0.4515,compact_k5,0.5931,0.14159999999999995,7,0.2494,dynamics_mse,0.5414,0.292,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed1,HHAR_SA,3->8,0.8683,intra_light_k5,0.8693,0.0010000000000000009,7,0.8769,compact_k5,0.9051,0.028200000000000003,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed1,HHAR_SA,4->5,0.8524,compact_k5,0.9345,0.08209999999999995,7,0.8528,compact_k5,0.9528,0.09999999999999998,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed2,HAR,12->16,0.5849,compact_k3,0.5656,-0.019299999999999984,7,0.5738,compact_k5,0.7147,0.14090000000000003,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed2,HAR,2->11,0.7203,compact_k5,0.7189,-0.0014000000000000679,7,0.5639,intra_light_k5,0.7088,0.14490000000000003,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed2,HAR,6->23,0.7458,compact_k3,0.7117,-0.03410000000000002,7,0.7065,compact_k3,0.7264,0.01990000000000003,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed2,HAR,7->13,0.8686,compact_k5,0.8389,-0.02970000000000006,7,0.9013,compact_k8,0.8623,-0.039000000000000035,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed2,HAR,9->18,0.3266,dynamics_cosine,0.452,0.1254,7,0.3139,noseg_global,0.4603,0.14639999999999997,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed2,HHAR_SA,0->6,0.295,compact_k3,0.3441,0.04910000000000003,7,0.3182,dynamics_mse,0.2861,-0.03209999999999996,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed2,HHAR_SA,1->6,0.8197,dynamics_mse,0.8487,0.029000000000000026,7,0.8397,dynamics_mse,0.9011,0.06140000000000001,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed2,HHAR_SA,2->7,0.4293,compact_k3,0.5219,0.09260000000000002,7,0.354,dynamics_cosine,0.3761,0.02210000000000001,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed2,HHAR_SA,3->8,0.8695,intra_light_k5,0.9003,0.03079999999999994,7,0.8985,intra_light_k5,0.9223,0.023800000000000043,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed2,HHAR_SA,4->5,0.8994,dynamics_cosine,0.9043,0.0049000000000000155,7,0.8565,noseg_global,0.9393,0.08279999999999998,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed3,HAR,12->16,0.5653,compact_k3,0.6447,0.07940000000000003,7,0.5909,dynamics_mse,0.0888,-0.5021,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed3,HAR,2->11,0.4105,compact_k3,0.4826,0.0721,7,0.5337,compact_k8,0.6394,0.10570000000000002,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed3,HAR,6->23,0.62,compact_k3,0.6468,0.026800000000000046,7,0.358,dynamics_cosine,0.6961,0.33810000000000007,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed3,HAR,7->13,0.8518,compact_k3,0.9126,0.060799999999999965,7,0.9235,noseg_global,0.8953,-0.028200000000000003,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed3,HAR,9->18,0.5517,compact_k5,0.6818,0.1301,7,0.5633,compact_k5,0.4899,-0.07340000000000002,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed3,HHAR_SA,0->6,0.3104,compact_k8,0.3625,0.05209999999999998,7,0.2467,compact_k5,0.2813,0.03459999999999999,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed3,HHAR_SA,1->6,0.7994,compact_k3,0.8505,0.051100000000000034,7,0.8488,compact_k3,0.8913,0.04249999999999998,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed3,HHAR_SA,2->7,0.4315,dynamics_mse,0.4585,0.027000000000000024,7,0.4114,dynamics_mse,0.434,0.02260000000000001,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed3,HHAR_SA,3->8,0.9107,dynamics_mse,0.9034,-0.007299999999999973,7,0.9335,compact_k8,0.902,-0.03149999999999997,7
/data/user/timematch/logs/v25_har_hhar_multiview_20260520_115537_seed3,HHAR_SA,4->5,0.8719,dynamics_mse,0.9334,0.0615,7,0.8538,intra_light_k5,0.923,0.06920000000000004,7
