dataset,task,runs,source_gain_runs,source_baseline,source_best,source_delta,source_best_views,da_gain_runs,da_baseline,da_best,da_delta,da_best_views
HAR,12->16,3,2,0.5733333333333334,0.5992666666666667,0.025933333333333364,compact_k3:3,1,0.5564333333333333,0.37096666666666667,-0.18546666666666667,"compact_k8:1, compact_k5:1, dynamics_mse:1"
HAR,2->11,3,2,0.6210333333333332,0.6504333333333333,0.0294,"intra_light_k5:1, compact_k5:1, compact_k3:1",3,0.5908666666666668,0.7067666666666668,0.1159,"compact_k5:1, intra_light_k5:1, compact_k8:1"
HAR,6->23,3,2,0.6930333333333333,0.6934666666666667,0.00043333333333332263,"compact_k3:2, compact_k5:1",2,0.5745333333333335,0.6902333333333334,0.11570000000000003,"dynamics_cosine:2, compact_k3:1"
HAR,7->13,3,2,0.8668666666666667,0.8843333333333333,0.01746666666666663,"compact_k3:2, compact_k5:1",1,0.9025333333333334,0.8865999999999999,-0.015933333333333355,"dynamics_cosine:1, compact_k8:1, noseg_global:1"
HAR,9->18,3,3,0.4558,0.6073666666666667,0.15156666666666668,"compact_k5:2, dynamics_cosine:1",2,0.41466666666666674,0.5038666666666667,0.08919999999999999,"compact_k5:2, noseg_global:1"
HHAR_SA,0->6,3,2,0.3113666666666666,0.3320666666666667,0.020700000000000014,"compact_k8:2, compact_k3:1",1,0.27216666666666667,0.2648333333333333,-0.007333333333333321,"compact_k3:1, dynamics_mse:1, compact_k5:1"
HHAR_SA,1->6,3,3,0.7929333333333334,0.8400666666666666,0.047133333333333326,"compact_k3:2, dynamics_mse:1",3,0.8390000000000001,0.8873666666666665,0.04836666666666667,"dynamics_mse:2, compact_k3:1"
HHAR_SA,2->7,3,3,0.43743333333333334,0.5245000000000001,0.08706666666666667,"compact_k5:1, compact_k3:1, dynamics_mse:1",3,0.33826666666666666,0.45049999999999996,0.11223333333333334,"dynamics_mse:2, dynamics_cosine:1"
HHAR_SA,3->8,3,2,0.8828333333333332,0.891,0.008166666666666655,"intra_light_k5:2, dynamics_mse:1",2,0.9029666666666666,0.9098,0.006833333333333358,"compact_k5:1, intra_light_k5:1, compact_k8:1"
HHAR_SA,4->5,3,3,0.8745666666666666,0.9240666666666666,0.04949999999999999,"compact_k5:1, dynamics_cosine:1, dynamics_mse:1",3,0.8543666666666666,0.9383666666666667,0.084,"compact_k5:1, noseg_global:1, intra_light_k5:1"
