metric,max_source_corr,min_source_corr,source_corr_spread,source_count
raw_phase_margin_gap_p5,0.9963626832064604,-0.9992367341306425,1.995599417337103,4
raw_target_phase_margin_p5,0.9992367341306425,-0.9963626832064604,1.995599417337103,4
target_phase_compactness_p4,0.9927330341659885,-0.9962376101386606,1.988970644304649,4
raw_phase_compactness_gap_p5,0.9999502005348516,-0.9843843083433041,1.9843345088781557,4
raw_target_phase_compactness_p5,0.9843843083433041,-0.9999502005348516,1.9843345088781557,4
source_phase_margin_p4,0.979705957992472,-0.9883900776300367,1.9680960356225086,4
raw_target_phase_boundary_3,0.9416535688169277,-0.9973864766634905,1.9390400454804182,4
phase_compactness_gap_p5,0.998186071989642,-0.938605855554223,1.9367919275438652,4
source_phase_compactness_p3,0.9786737165285134,-0.9334620540356017,1.912135770564115,4
raw_phase_margin_gap_p4,0.9916097206593704,-0.9151716743729684,1.906781395032339,4
raw_target_phase_margin_p4,0.9151716743729684,-0.9916097206593704,1.906781395032339,4
phase_compactness_gap_p4,0.9916998984495786,-0.9062377797361688,1.8979376781857473,4
target_phase_compactness_p3,0.832439843177911,-0.9945903205641721,1.8270301637420832,4
raw_target_phase_boundary_1,0.9955952948594456,-0.8276364944596388,1.8232317893190846,4
source_phase_compactness_p4,0.8457536928362032,-0.9673965797489307,1.8131502725851338,4
source_phase_compactness_p5,0.9347408738287204,-0.8736850572524726,1.808425931081193,4
target_phase_boundary_4,0.8989648656042863,-0.8988017942566339,1.7977666598609203,4
phase_separability_gap_p3,0.9717846750414868,-0.8245262589845695,1.7963109340260563,4
phase_compactness_gap_p1,0.9226144324372368,-0.8729185610902706,1.7955329935275075,4
source_phase_margin_p5,0.9807305396703214,-0.7986247352968344,1.779355274967156,4
target_phase_compactness_p5,0.9369916130818013,-0.8347371616802894,1.771728774762091,4
raw_phase_separability_gap_p5,0.7653374738466843,-0.9995693475830439,1.764906821429728,4
raw_target_phase_separability_p5,0.9995693475830439,-0.7653374738466843,1.764906821429728,4
source_phase_separability_p3,0.9997519228681695,-0.7572849480208689,1.7570368708890385,4
target_phase_boundary_3,0.7422124098242228,-0.998134444449274,1.7403468542734968,4
source_phase_margin_p3,0.9475961120018228,-0.7568430953166839,1.7044392073185066,4
target_phase_separability_p4,0.7092269407249879,-0.9849101189500994,1.6941370596750873,4
target_phase_margin_p4,0.6650177465762857,-0.9986909482736748,1.6637086948499604,4
phase_margin_gap_p4,0.996299829565427,-0.634399472826391,1.630699302391818,4
target_phase_boundary_2,0.9778571569765802,-0.6506203314716692,1.6284774884482494,4
source_phase_compactness_p1,0.993177725823518,-0.6180961585144098,1.611273884337928,4
raw_target_phase_compactness_p3,0.7382470580979128,-0.8693251441714498,1.6075722022693626,4
raw_phase_compactness_gap_p3,0.8693251441714498,-0.7382470580979128,1.6075722022693626,4
source_phase_separability_p5,0.7770202093682107,-0.800227696310755,1.5772479056789657,4
raw_phase_compactness_gap_p1,0.9950824557764077,-0.5367980568044902,1.5318805125808979,4
raw_target_phase_compactness_p1,0.5367980568044902,-0.9950824557764077,1.5318805125808979,4
raw_phase_separability_gap_p2,0.9519602524788905,-0.5687934349189127,1.5207536873978031,4
raw_target_phase_separability_p2,0.5687934349189125,-0.9519602524788905,1.5207536873978031,4
target_phase_boundary_1,0.6701647101294727,-0.8276364944596388,1.4978012045891114,4
