group_name,group_value,metric,corr_with_target_f1,abs_corr,pair_count,task_count
target,AT1,source_fisher_ratio,0.9999295705206985,0.9999295705206985,3,3
target,AT1,raw_curve_spread_gap,0.9995011508667129,0.9995011508667129,3,3
target,AT1,source_curve_spread,-0.999036414284651,0.999036414284651,3,3
target,AT1,relation_structure_distance,0.9900623745750651,0.9900623745750651,3,3
target,AT1,domain_ndvi_curve_mse,0.9856197771650704,0.9856197771650704,3,3
target,AT1,class_relative_curve_structure_corr,-0.9767137123802794,0.9767137123802794,3,3
target,AT1,coral,-0.9736131574398238,0.9736131574398238,3,3
target,AT1,class_curve_variance_mean_gap,0.965707221834968,0.965707221834968,3,3
target,AT1,raw_class_curve_variance_mean_gap,0.965707221834968,0.965707221834968,3,3
target,AT1,pse_early_curve_distance,-0.9643124208643236,0.9643124208643236,3,3
target,AT1,class_relative_curve_structure_mse,0.9559277335252994,0.9559277335252994,3,3
target,AT1,source_curve_activity_range,-0.9547762819587626,0.9547762819587626,3,3
target,AT1,raw_source_ndvi_q90_range_mean,0.9501739471107645,0.9501739471107645,3,3
target,AT1,source_ndvi_q90_range_mean,0.9501739471107645,0.9501739471107645,3,3
target,AT1,target_fisher_ratio,0.9438162725824245,0.9438162725824245,3,3
target,AT1,raw_source_ndvi_q90_range_std,0.932667828161829,0.932667828161829,3,3
target,AT1,source_ndvi_q90_range_std,0.932667828161829,0.932667828161829,3,3
target,AT1,raw_source_class_curve_variance_mean,0.9296919913159764,0.9296919913159764,3,3
target,AT1,source_class_curve_variance_mean,0.9296919913159764,0.9296919913159764,3,3
target,AT1,ndvi_q90_range_mean_gap,0.9191522554849116,0.9191522554849116,3,3
target,AT1,raw_ndvi_q90_range_mean_gap,0.9191522554849116,0.9191522554849116,3,3
target,AT1,classwise_curve_shift_mse_mean,0.9140605324477469,0.9140605324477469,3,3
target,AT1,raw_source_curve_spread,0.8952773292500371,0.8952773292500371,3,3
target,AT1,pse_late_curve_distance,-0.8751185441598658,0.8751185441598658,3,3
target,AT1,pse_trend_curve_distance,-0.8526580915229349,0.8526580915229349,3,3
target,AT1,target_curve_activity_range,-0.8513514332995658,0.8513514332995658,3,3
target,AT1,fisher_ratio_gap,-0.8399948897743452,0.8399948897743452,3,3
target,AT1,domain_bandwise_curve_mse,0.8097023260907732,0.8097023260907732,3,3
target,AT1,global_curve_shift_mse,0.8097023260907732,0.8097023260907732,3,3
target,AT1,mmd,-0.808388615845126,0.808388615845126,3,3
target,AT1,prototype_distance,-0.8006259528826309,0.8006259528826309,3,3
target,AT1,target_curve_spread,-0.6972812969074563,0.6972812969074563,3,3
target,AT1,raw_target_class_curve_variance_mean,-0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_curve_activity_range,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_curve_spread,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_fisher_ratio,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_ndvi_q90_range_mean,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_ndvi_q90_range_std,-0.5322350452300796,0.5322350452300796,3,3
target,AT1,target_class_curve_variance_mean,-0.5322350452300796,0.5322350452300796,3,3
target,AT1,target_ndvi_q90_range_mean,0.5322350452300796,0.5322350452300796,3,3
target,AT1,target_ndvi_q90_range_std,-0.5322350452300796,0.5322350452300796,3,3
target,AT1,curve_activity_range_gap,0.47881572520275356,0.47881572520275356,3,3
target,AT1,pse_mid_curve_distance,-0.4575516322156708,0.4575516322156708,3,3
target,AT1,raw_fisher_ratio_gap,-0.42221570352260934,0.42221570352260934,3,3
target,AT1,raw_source_fisher_ratio,-0.4180641277728963,0.4180641277728963,3,3
target,AT1,raw_source_curve_activity_range,0.41262449053237343,0.41262449053237343,3,3
target,AT1,raw_curve_activity_range_gap,0.39429340212039093,0.39429340212039093,3,3
target,AT1,acf_distance,0.2925748619493446,0.2925748619493446,3,3
target,AT1,best_shifted_curve_mse,-0.14448364110174217,0.14448364110174217,3,3
target,AT1,curve_spread_gap,0.010680996141070008,0.010680996141070008,3,3
target,DK1,domain_ndvi_curve_mse,0.998032204274265,0.998032204274265,3,3
target,DK1,raw_source_curve_spread,0.9858124511851124,0.9858124511851124,3,3
target,DK1,raw_source_curve_activity_range,0.9743904851917105,0.9743904851917105,3,3
target,DK1,source_fisher_ratio,0.9606888432560513,0.9606888432560513,3,3
target,DK1,raw_curve_activity_range_gap,0.9552255029017527,0.9552255029017527,3,3
target,DK1,raw_source_ndvi_q90_range_mean,0.9221436027490498,0.9221436027490498,3,3
target,DK1,source_ndvi_q90_range_mean,0.9221436027490498,0.9221436027490498,3,3
target,DK1,raw_curve_spread_gap,0.9183053724033533,0.9183053724033533,3,3
target,DK1,ndvi_q90_range_mean_gap,0.9126811194273922,0.9126811194273922,3,3
target,DK1,raw_ndvi_q90_range_mean_gap,0.9126811194273922,0.9126811194273922,3,3
target,DK1,raw_source_class_curve_variance_mean,0.8752323821879173,0.8752323821879173,3,3
target,DK1,source_class_curve_variance_mean,0.8752323821879173,0.8752323821879173,3,3
target,DK1,class_curve_variance_mean_gap,0.866345770571818,0.866345770571818,3,3
target,DK1,raw_class_curve_variance_mean_gap,0.866345770571818,0.866345770571818,3,3
target,DK1,best_shifted_curve_mse,0.8465119792768574,0.8465119792768574,3,3
target,DK1,raw_target_curve_spread,-0.8291125751238356,0.8291125751238356,3,3
target,DK1,raw_target_class_curve_variance_mean,-0.8291125751238355,0.8291125751238355,3,3
