group_name,group_value,metric,family,corr_with_target_f1,abs_corr,pair_count,task_count
source,AT1,source_encoded_activity_directionality_mean,trend_activity,nan,nan,3,3
source,AT1,source_encoded_activity_path_length_mean,trend_activity,nan,nan,3,3
source,AT1,source_encoded_activity_step_norm_std,trend_activity,nan,nan,3,3
source,AT1,source_encoded_amplitude_l2_mean,amplitude_spread,nan,nan,3,3
source,AT1,source_encoded_amplitude_l2_std,amplitude_spread,nan,nan,3,3
source,AT1,source_encoded_phase_adjacent_contrast_mean,inter_phase_contrast,nan,nan,3,3
source,AT1,source_encoded_phase_early_late_distance_mean,inter_phase_contrast,nan,nan,3,3
source,AT1,source_encoded_phase_global_contrast_mean,inter_phase_contrast,nan,nan,3,3
source,AT1,source_encoded_phase_internal_smoothness_mean,intra_phase_compact_smooth,nan,nan,3,3
source,AT1,source_encoded_phase_within_radius_mean,intra_phase_compact_smooth,nan,nan,3,3
source,AT1,source_encoded_phase_within_radius_std,intra_phase_compact_smooth,nan,nan,3,3
source,AT1,source_encoded_temporal_norm_std_mean,amplitude_spread,nan,nan,3,3
source,DK1,source_encoded_activity_directionality_mean,trend_activity,nan,nan,3,3
source,DK1,source_encoded_activity_path_length_mean,trend_activity,nan,nan,3,3
source,DK1,source_encoded_activity_step_norm_std,trend_activity,nan,nan,3,3
source,DK1,source_encoded_amplitude_l2_mean,amplitude_spread,nan,nan,3,3
source,DK1,source_encoded_amplitude_l2_std,amplitude_spread,nan,nan,3,3
source,DK1,source_encoded_phase_adjacent_contrast_mean,inter_phase_contrast,nan,nan,3,3
source,DK1,source_encoded_phase_early_late_distance_mean,inter_phase_contrast,nan,nan,3,3
source,DK1,source_encoded_phase_global_contrast_mean,inter_phase_contrast,nan,nan,3,3
source,DK1,source_encoded_phase_internal_smoothness_mean,intra_phase_compact_smooth,nan,nan,3,3
source,DK1,source_encoded_phase_within_radius_mean,intra_phase_compact_smooth,nan,nan,3,3
source,DK1,source_encoded_phase_within_radius_std,intra_phase_compact_smooth,nan,nan,3,3
source,DK1,source_encoded_temporal_norm_std_mean,amplitude_spread,nan,nan,3,3
source,FR1,source_encoded_activity_directionality_mean,trend_activity,nan,nan,3,3
source,FR1,source_encoded_activity_path_length_mean,trend_activity,nan,nan,3,3
source,FR1,source_encoded_activity_step_norm_std,trend_activity,nan,nan,3,3
source,FR1,source_encoded_amplitude_l2_mean,amplitude_spread,nan,nan,3,3
source,FR1,source_encoded_amplitude_l2_std,amplitude_spread,nan,nan,3,3
source,FR1,source_encoded_phase_adjacent_contrast_mean,inter_phase_contrast,nan,nan,3,3
source,FR1,source_encoded_phase_early_late_distance_mean,inter_phase_contrast,nan,nan,3,3
source,FR1,source_encoded_phase_global_contrast_mean,inter_phase_contrast,nan,nan,3,3
source,FR1,source_encoded_phase_internal_smoothness_mean,intra_phase_compact_smooth,nan,nan,3,3
source,FR1,source_encoded_phase_within_radius_mean,intra_phase_compact_smooth,nan,nan,3,3
source,FR1,source_encoded_phase_within_radius_std,intra_phase_compact_smooth,nan,nan,3,3
source,FR1,source_encoded_temporal_norm_std_mean,amplitude_spread,nan,nan,3,3
source,FR2,source_encoded_activity_directionality_mean,trend_activity,nan,nan,3,3
source,FR2,source_encoded_activity_path_length_mean,trend_activity,nan,nan,3,3
source,FR2,source_encoded_activity_step_norm_std,trend_activity,nan,nan,3,3
source,FR2,source_encoded_amplitude_l2_mean,amplitude_spread,nan,nan,3,3
source,FR2,source_encoded_amplitude_l2_std,amplitude_spread,nan,nan,3,3
source,FR2,source_encoded_phase_adjacent_contrast_mean,inter_phase_contrast,nan,nan,3,3
source,FR2,source_encoded_phase_early_late_distance_mean,inter_phase_contrast,nan,nan,3,3
source,FR2,source_encoded_phase_global_contrast_mean,inter_phase_contrast,nan,nan,3,3
source,FR2,source_encoded_phase_internal_smoothness_mean,intra_phase_compact_smooth,nan,nan,3,3
source,FR2,source_encoded_phase_within_radius_mean,intra_phase_compact_smooth,nan,nan,3,3
source,FR2,source_encoded_phase_within_radius_std,intra_phase_compact_smooth,nan,nan,3,3
source,FR2,source_encoded_temporal_norm_std_mean,amplitude_spread,nan,nan,3,3
