source,target,source_dataset,target_dataset,closed_set,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,pse_early_curve_distance,target_curve_spread,target_curve_activity_range,pse_late_curve_distance,pse_mid_curve_distance,raw_source_curve_spread,prototype_distance,source_curve_activity_range,raw_source_ndvi_q90_range_mean,source_ndvi_q90_range_mean,pse_trend_curve_distance,source_curve_spread,domain_ndvi_curve_mse,target_fisher_ratio,raw_curve_spread_gap,classwise_curve_shift_mse_mean,source_fisher_ratio,raw_source_ndvi_q90_range_std,source_ndvi_q90_range_std,domain_bandwise_curve_mse,global_curve_shift_mse,acf_distance,best_shifted_curve_mse,ndvi_q90_range_mean_gap,raw_ndvi_q90_range_mean_gap,class_relative_curve_structure_corr,raw_source_class_curve_variance_mean,source_class_curve_variance_mean,relation_structure_distance,raw_target_fisher_ratio,raw_target_ndvi_q90_range_std,target_ndvi_q90_range_std,curve_spread_gap,raw_source_curve_activity_range,coral,raw_target_curve_activity_range,curve_activity_range_gap,mmd,raw_source_fisher_ratio,class_relative_curve_structure_mse,raw_target_ndvi_q90_range_mean,target_ndvi_q90_range_mean,raw_target_class_curve_variance_mean,target_class_curve_variance_mean,class_curve_variance_mean_gap,raw_class_curve_variance_mean_gap,fisher_ratio_gap,raw_fisher_ratio_gap,raw_target_curve_spread,raw_curve_activity_range_gap,shared_classes_for_proto,shared_classes_for_relation,shared_classes_for_curves,shared_classes_for_curve_structure,source_samples,target_samples,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.7785089264494895,0.9519524477833733,0.6305311322212219,6.230760097503662,3.80548095703125,0.6330756545066833,0.6564792990684509,0.12325584888458252,0.8450729846954346,3.4551947116851807,0.7321340116587552,0.7321340116587552,5.620368957519531,5.183075428009033,0.03603022173047066,2.12034010887146,0.016413740813732147,0.0002772654115688056,2.040259838104248,0.05812385301532046,0.05812385301532046,0.00023987554595805705,0.00023987554595805705,0.07656922936439514,0.00018040130089502782,0.07352254065600317,0.07352254065600317,0.4541029022023368,0.00013859994942322373,0.00013859994942322373,0.0011977644171565771,0.0795603096485138,0.03394764737904725,0.03394764737904725,-1.047684669494629,0.15825997292995453,4.108831853955053e-05,0.13678763806819916,-0.35028624534606934,0.1075519323348999,0.023563042283058167,0.002693342976272106,0.6586114710027521,0.6586114710027521,0.00012095875717932358,0.00012095875717932358,1.764119224390015e-05,1.764119224390015e-05,-0.08008027076721191,-0.05599726736545563,0.10684210807085037,0.02147233486175537,11,11,11,11,106028,73493,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.6562862644392059,0.9529471934535225,0.8176826238632202,5.119182586669922,4.013057708740234,0.5708388686180115,0.6148662567138672,0.12325584888458252,1.362531304359436,3.2723395824432373,0.7321340116587552,0.7321340116587552,6.102566719055176,4.939788818359375,0.03144913911819458,2.4023847579956055,-0.032970622181892395,0.00023077808145899326,2.073622941970825,0.05812385301532046,0.05812385301532046,0.00016374487313441932,0.0001637448585825041,0.04414838179945946,0.0001637448585825041,0.06439524618062109,0.06439524618062109,-0.17035706514454035,0.00013859994942322373,0.00013859994942322373,0.0035582268610596657,0.021165624260902405,0.06577309494737843,0.06577309494737843,-0.17939376831054688,0.15825997292995453,2.5112902221735567e-05,0.17221680283546448,-0.7407181262969971,0.0911475419998169,0.023563042283058167,0.017287269234657288,0.6677387654781342,0.6677387654781342,0.0001680984569247812,0.0001680984569247812,-2.949850750155747e-05,-2.949850750155747e-05,-0.3287618160247803,0.0023974180221557617,0.15622647106647491,-0.013956829905509949,10,10,10,10,106028,48123,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.8238071818121704,0.9689203925845147,0.6940525770187378,5.771465301513672,3.9106171131134033,0.44151073694229126,0.6778385639190674,0.12325584888458252,0.9008994102478027,2.9397077560424805,0.7321340116587552,0.7321340116587552,6.251401424407959,4.447286605834961,0.06800349056720734,3.1085898876190186,-0.013747230172157288,0.0006201796932145953,1.9306855201721191,0.05812385301532046,0.05812385301532046,0.000490067875944078,0.000490067875944078,0.06652563065290451,0.0002983615850098431,-0.007357313958081257,-0.007357313958081257,0.2799088927332446,0.00013859994942322373,0.00013859994942322373,0.0017295778961852193,0.08902993053197861,0.03103057536689931,0.03103057536689931,-1.324178695678711,0.15825997292995453,1.1547339454409666e-05,0.19250966608524323,-0.9709093570709229,0.03294646739959717,0.023563042283058167,0.0030924296006560326,0.7394913256168365,0.7394913256168365,0.00028122475487180054,0.00028122475487180054,-0.0001426248054485768,-0.0001426248054485768,-1.1779043674468994,-0.06546688824892044,0.1370030790567398,-0.034249693155288696,10,10,10,10,106028,42731,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.6981721287676111,0.9605487081635811,0.7710223197937012,6.509543418884277,5.301238536834717,1.1633878946304321,1.1683427095413208,0.10544401407241821,1.316573977470398,4.663876533508301,0.6546598424514135,0.6546598424514135,9.154961585998535,6.793085098266602,0.03600727394223213,1.901842713356018,-0.01817106455564499,0.0002774327585939318,2.1504077911376953,0.03504532829880232,0.03504532829880232,0.00024001396377570927,0.0002400139783276245,0.07661489397287369,0.00018058385467156768,-0.07792570690313971,-0.07792570690313971,0.42720616143867274,0.00012282634270377457,0.00012282634270377457,0.00046992560965009034,0.023602159693837166,0.055669499558546616,0.055669499558546616,0.2835416793823242,0.13860245048999786,0.00014309478865470737,0.16075800359249115,-0.637362003326416,0.07414054870605469,0.07966586202383041,0.002766799181699753,0.7325855493545532,0.7325855493545532,0.00014170676877256483,0.00014170676877256483,-1.8880426068790257e-05,-1.8880426068790257e-05,0.24856507778167725,0.05606370232999325,0.1236150786280632,-0.022155553102493286,12,12,12,12,74156,106107,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.564798184168403,0.9231164163778719,1.2612043619155884,7.323044776916504,5.747279644012451,1.1216036081314087,1.4933912754058838,0.10544401407241821,1.672829031944275,4.946383953094482,0.6546598424514135,0.6546598424514135,9.21949577331543,6.952961444854736,0.023479918017983437,2.0206727981567383,-0.0507824569940567,0.00029868114506825805,1.723536729812622,0.03504532829880232,0.03504532829880232,0.00022875357535667717,0.0002287535899085924,0.06674675643444061,0.00015764583076816052,-0.013078923026720646,-0.013078923026720646,-0.00478981038986775,0.00012282634270377457,0.00012282634270377457,0.004141089506447315,0.021165624260902405,0.06577309494737843,0.06577309494737843,-0.3700833320617676,0.13860245048999786,6.103550549596548e-05,0.17221680283546448,-0.8008956909179688,0.05485939979553223,0.07966586202383041,0.016219884157180786,0.6677387654781342,0.6677387654781342,0.0001680984569247812,0.0001680984569247812,-4.527211422100663e-05,-4.527211422100663e-05,-0.2971360683441162,0.05850023776292801,0.15622647106647491,-0.033614352345466614,10,10,10,10,74156,48123,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.6445736790637517,0.9540354197647695,1.184897780418396,7.7520318031311035,5.5975542068481445,0.9202408790588379,0.8257797956466675,0.10544401407241821,1.2941786050796509,4.660236835479736,0.6546598424514135,0.6546598424514135,9.520894050598145,6.66239595413208,0.034293003380298615,2.6312835216522217,-0.031559064984321594,0.0004376363067422062,1.7707017660140991,0.03504532829880232,0.03504532829880232,0.00038409241824410856,0.00038409241824410856,0.06963697820901871,0.0002791621955111623,-0.084831483165423,-0.084831483165423,0.32370058323435297,0.00012282634270377457,0.00012282634270377457,0.001260874094441533,0.08902993053197861,0.03103057536689931,0.03103057536689931,-1.0896358489990234,0.13860245048999786,0.00012838945258408785,0.19250966608524323,-0.9373173713684082,0.06729328632354736,0.07966586202383041,0.002500478643923998,0.7394913256168365,0.7394913256168365,0.00028122475487180054,0.00028122475487180054,-0.00015839841216802597,-0.00015839841216802597,-0.8605817556381226,-0.009364068508148193,0.1370030790567398,-0.05390721559524536,10,10,10,10,74156,42731,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.5490369751846679,0.9307278632660668,1.1360477209091187,7.48510217666626,5.585236072540283,0.9919297099113464,1.1337074041366577,0.08906648308038712,2.3842833042144775,5.767356872558594,0.6766762435436249,0.6766762435436249,10.765148162841797,7.250987529754639,0.03194848820567131,1.5985982418060303,-0.03010737895965576,0.00021391436166595668,1.625960111618042,0.042695548552879735,0.042695548552879735,0.00016396140563301742,0.00016396143473684788,0.044380709528923035,0.00016396143473684788,-0.05631857117017114,-0.05631857117017114,0.014220754996287398,0.0001281706354347989,0.0001281706354347989,0.0013729442143812776,0.019460685551166534,0.04851270566638856,0.04851270566638856,-0.2341146469116211,0.1596878170967102,0.0001062824740074575,0.15606576204299927,0.18212080001831055,0.062479376792907715,0.019903885200619698,0.002824433147907257,0.732994814713796,0.732994814713796,0.0001354399573756382,0.0001354399573756382,-7.269321940839291e-06,-7.269321940839291e-06,0.02736186981201172,0.00044319964945316315,0.11917386204004288,0.0036220550537109375,12,12,12,12,53823,104447,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.501627819501561,0.9205938436393354,1.6637178659439087,9.295060157775879,6.170415878295898,1.5388325452804565,1.6550759077072144,0.08906648308038712,2.0913100242614746,6.277196407318115,0.6766762435436249,0.6766762435436249,10.200701713562012,7.908173561096191,0.03004121407866478,1.2521730661392212,-0.008998803794384003,0.00026471877936273813,1.51096510887146,0.042695548552879735,0.042695548552879735,0.0002421480166958645,0.0002421480166958645,0.0669599324464798,0.00016665605653543025,0.021651600797971127,0.021651600797971127,0.38942010963565205,0.0001281706354347989,0.0001281706354347989,0.00179934105835855,0.05039803311228752,0.03706946929733331,0.03706946929733331,-1.3868865966796875,0.1596878170967102,9.095795394387096e-05,0.13658559322357178,0.1067805290222168,0.0940098762512207,0.019903885200619698,0.001077831257134676,0.6550246427456538,0.6550246427456538,0.00012110874376958236,0.00012110874376958236,7.061891665216535e-06,7.061891665216535e-06,0.25879204273223877,-0.030494147911667824,0.09806528687477112,0.023102223873138428,12,12,12,12,53823,57128,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.5495008327345609,0.862365315546434,1.4146710634231567,8.702380180358887,6.683233261108398,1.1145983934402466,1.0967708826065063,0.08906648308038712,2.2113633155822754,5.506018161773682,0.6766762435436249,0.6766762435436249,10.766242980957031,6.904998779296875,0.03909849375486374,3.094475746154785,-0.033044636249542236,0.0005060448893345892,1.6277843713760376,0.042695548552879735,0.042695548552879735,0.0004431382694747299,0.0004431382694747299,0.05812571570277214,0.00032637317781336606,-0.05667199194431305,-0.05667199194431305,0.33913254206789356,0.0001281706354347989,0.0001281706354347989,0.0012787866871804,0.08871390670537949,0.031152452046977842,0.031152452046977842,-1.7973814010620117,0.1596878170967102,0.00019700512348208576,0.19201283156871796,-1.1772150993347168,0.048431396484375,0.019903885200619698,0.002201913855969906,0.7333482354879379,0.7333482354879379,0.0002828868746291846,0.0002828868746291846,-0.0001547162391943857,-0.0001547162391943857,-1.4666913747787476,-0.06881002150475979,0.12211111932992935,-0.03232501447200775,12,12,12,12,53823,43959,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.6702918177708921,0.9049429657794676,1.2880561351776123,6.725361347198486,5.4070892333984375,1.1092768907546997,1.1289348602294922,0.13051709532737732,1.8938499689102173,5.766305923461914,0.7373847126960754,0.7373847126960754,11.876981735229492,7.788978576660156,0.06811375170946121,1.6445088386535645,0.012533232569694519,0.0006261737435124815,3.162107467651367,0.032480193790871255,0.032480193790871255,0.0004890960990451276,0.0004890961572527885,0.06623738259077072,0.0002980048593599349,-0.005391240119934082,-0.005391240119934082,0.20204188691338504,0.00028484355425462127,0.00028484355425462127,0.0009813760407269,0.019197210669517517,0.042095343206778935,0.042095343206778935,1.06361722946167,0.19278576970100403,0.0002744595694821328,0.15858978033065796,0.35921669006347656,0.06696712970733643,0.08880192041397095,0.0024675431195646524,0.7427759528160095,0.7427759528160095,0.00013725479948334396,0.00013725479948334396,0.0001475887547712773,0.0001475887547712773,1.5175986289978027,0.06960470974445343,0.1179838627576828,0.03419598937034607,10,10,10,10,43809,104138,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
