source,target,source_dataset,target_dataset,closed_set,source_phase_partition_mode,source_phase_count,raw_source_phase_partition_mode,raw_source_phase_count,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,source_phase_separability_p5,source_phase_margin_p5,source_phase_separability_p4,source_phase_margin_p4,raw_source_phase_margin_p1,source_phase_compactness_p2,raw_source_phase_separability_p1,raw_source_phase_separability_p5,raw_source_phase_margin_p5,source_phase_margin_p2,raw_source_phase_margin_p4,raw_source_phase_margin_p2,source_phase_separability_p2,source_phase_margin_p3,source_phase_compactness_p4,raw_source_phase_separability_p2,source_phase_compactness_p1,source_phase_separability_p1,raw_source_phase_separability_p4,source_phase_compactness_p5,raw_source_phase_compactness_p4,raw_source_phase_compactness_p5,raw_source_phase_compactness_p2,source_phase_margin_p1,source_phase_compactness_p3,raw_source_phase_separability_p3,raw_source_phase_compactness_p3,raw_source_phase_compactness_p1,raw_source_phase_margin_p3,source_phase_separability_p3,source_samples,target_samples,source_phase_boundary_1,raw_source_phase_boundary_1,source_phase_boundary_2,raw_source_phase_boundary_2,source_phase_boundary_3,raw_source_phase_boundary_3,source_phase_boundary_4,raw_source_phase_boundary_4,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.781624224465688,0.9616940477173285,0.1642567366361618,0.17446087300777435,0.6939723491668701,0.3968609571456909,0.12133369594812393,0.307382196187973,0.23531368374824524,0.14493295550346375,0.09561069309711456,0.4973836839199066,0.14043205976486206,0.17981918156147003,1.1742053031921387,0.379874587059021,0.35359132289886475,0.5935841202735901,0.45449545979499817,0.47442591190338135,0.26774656772613525,0.28865429759025574,311.335693359375,174.82595825195312,335.4552307128906,0.27644118666648865,0.2748388350009918,0.045899730175733566,134.81764221191406,275.77813720703125,0.062199804931879044,0.5292955636978149,106028,73493,6,16,9,19,13,23,19,26,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.6646433558670266,0.9479606188466948,0.16359953582286835,0.17907507717609406,0.8350445628166199,0.4509005546569824,0.12133369594812393,0.3753092288970947,0.23531368374824524,0.14493295550346375,0.09561069309711456,0.5179383158683777,0.14043205976486206,0.17981918156147003,1.3537746667861938,0.39842408895492554,0.49477165937423706,0.5935841202735901,0.5272771120071411,0.5053339600563049,0.26774656772613525,0.3600964844226837,311.335693359375,174.82595825195312,335.4552307128906,0.28095611929893494,0.35402610898017883,0.045899730175733566,134.81764221191406,275.77813720703125,0.062199804931879044,0.6203570365905762,106028,48123,6,16,9,19,13,23,18,26,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.7254632262469761,0.962649945474373,0.1552981734275818,0.17610310018062592,0.753461480140686,0.44261544942855835,0.12133369594812393,0.4339255392551422,0.23531368374824524,0.14493295550346375,0.09561069309711456,0.5072442889213562,0.14043205976486206,0.17981918156147003,1.3160983324050903,0.3824369013309479,0.5304804444313049,0.5935841202735901,0.5702177286148071,0.4799784719944,0.26774656772613525,0.37855881452560425,311.335693359375,174.82595825195312,335.4552307128906,0.2759760916233063,0.3728926479816437,0.045899730175733566,134.81764221191406,275.77813720703125,0.062199804931879044,0.5588269233703613,106028,42731,6,16,9,19,13,23,18,26,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.7175220739776266,0.9555463874993554,0.1803056299686432,0.16823188960552216,1.2192312479019165,0.4367676377296448,0.10428790003061295,0.255134254693985,0.12085629254579544,0.0682501420378685,0.05872982740402222,0.36316153407096863,0.13181829452514648,0.19164124131202698,0.9302819967269897,0.485612690448761,0.2875957787036896,0.839356541633606,0.2633885145187378,0.4239289462566376,0.1994227170944214,0.2967372238636017,619.5103149414062,149.06671142578125,483.4267578125,0.23429596424102783,0.17704354226589203,1.3665719032287598,680.4117431640625,501.195556640625,0.29266807436943054,1.2833855152130127,74156,106107,3,3,10,13,15,17,19,27,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.43336591807864516,0.7458606083943011,0.09202727675437927,0.12864838540554047,0.2502234876155853,0.20158390700817108,0.10428790003061295,0.19445285201072693,0.12085629254579544,0.0682501420378685,0.05872982740402222,0.49228838086128235,0.13181829452514648,0.19164124131202698,1.297707438468933,0.41600582003593445,0.28904637694358826,0.839356541633606,0.27884694933891296,0.7573986053466797,0.1994227170944214,0.30383849143981934,619.5103149414062,149.06671142578125,483.4267578125,0.3304511308670044,0.2931828200817108,1.3665719032287598,680.4117431640625,501.195556640625,0.29266807436943054,1.1667219400405884,74156,48123,9,3,16,13,19,17,26,27,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.700100415967925,0.9552521292415844,0.15106134116649628,0.1587260514497757,0.7586775422096252,0.34856823086738586,0.10428790003061295,0.17204570770263672,0.12085629254579544,0.0682501420378685,0.05872982740402222,0.39449676871299744,0.13181829452514648,0.19164124131202698,0.8919104337692261,0.5724989175796509,0.32268163561820984,0.839356541633606,0.24835295975208282,0.6949504017829895,0.1994227170944214,0.2736426293849945,619.5103149414062,149.06671142578125,483.4267578125,0.3105276823043823,0.2521800398826599,1.3665719032287598,680.4117431640625,501.195556640625,0.29266807436943054,1.4221798181533813,74156,42731,9,3,14,13,17,17,20,27,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.5553186588033906,0.952664927320164,0.12092772871255875,0.1623750925064087,0.4709707498550415,0.3393665850162506,0.0698949545621872,0.09810414165258408,0.0794692412018776,0.03978513926267624,0.05414534732699394,0.14645631611347198,0.08052527159452438,0.1222417876124382,0.10822591185569763,0.302998423576355,0.13240456581115723,0.2234310656785965,0.2018374651670456,0.4488934576511383,0.21902036666870117,0.1559225618839264,334.7867126464844,222.9741668701172,364.2541809082031,0.2392444759607315,0.1847345381975174,0.056327976286411285,162.55735778808594,174.64564514160156,0.0791436955332756,0.7658373713493347,53823,104447,3,5,6,12,12,23,18,26,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.44779340422852926,0.9109234540997003,0.10919772833585739,0.15471522510051727,0.44441285729408264,0.32835811376571655,0.0698949545621872,0.07720783352851868,0.0794692412018776,0.03978513926267624,0.05414534732699394,0.13437554240226746,0.08052527159452438,0.1222417876124382,0.08781427890062332,0.2986219823360443,0.10822227597236633,0.2234310656785965,0.1833421289920807,0.42888686060905457,0.21902036666870117,0.12868568301200867,334.7867126464844,222.9741668701172,364.2541809082031,0.23660337924957275,0.16802150011062622,0.056327976286411285,162.55735778808594,174.64564514160156,0.0791436955332756,0.6913709044456482,53823,57128,3,5,6,12,12,23,18,26,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.5900827314953311,0.9204720369420215,0.11522209644317627,0.1579568088054657,0.43302321434020996,0.3317066729068756,0.0698949545621872,0.09926614910364151,0.0794692412018776,0.03978513926267624,0.05414534732699394,0.14326749742031097,0.08052527159452438,0.1222417876124382,0.10193692892789841,0.2930818498134613,0.13666920363903046,0.2234310656785965,0.19960685074329376,0.3772543966770172,0.21902036666870117,0.15359054505825043,334.7867126464844,222.9741668701172,364.2541809082031,0.22332902252674103,0.1920030117034912,0.056327976286411285,162.55735778808594,174.64564514160156,0.0791436955332756,0.7451302409172058,53823,43959,3,5,6,12,12,23,18,26,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,structure,5,structure,5,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.6952418886631777,0.9592459701172816,0.1559421271085739,0.1643701195716858,0.942312479019165,0.4743354022502899,0.10556018352508545,0.2523019313812256,0.14383135735988617,0.16808375716209412,0.09877236187458038,0.43677473068237305,0.19715380668640137,0.2138698548078537,1.3710708618164062,0.5384029746055603,0.1899712085723877,1.2332926988601685,0.18096652626991272,0.22840039432048798,0.9838376641273499,0.1263594627380371,1381.3709716796875,217.96661376953125,369.9520568847656,0.16389764845371246,0.13906660676002502,0.20753996074199677,323.3822326660156,218.5435028076172,0.20567484200000763,1.072130799293518,43809,104138,6,6,11,12,17,17,20,20,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
AT1,FR2,austria/33UVP/2017,france/31TCJ/2017,True,structure,5,structure,5,10,1,timematch_33UVP_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.6094889847111158,0.9380727575673424,0.16037632524967194,0.16112729907035828,0.8308073878288269,0.4656558036804199,0.10556018352508545,0.20473074913024902,0.14383135735988617,0.16808375716209412,0.09877236187458038,0.42188167572021484,0.19715380668640137,0.2138698548078537,1.2279999256134033,0.5205252170562744,0.1638171374797821,1.2332926988601685,0.11304141581058502,0.23343856632709503,0.9838376641273499,0.09909515082836151,1381.3709716796875,217.96661376953125,369.9520568847656,0.15164200961589813,0.11226863414049149,0.20753996074199677,323.3822326660156,218.5435028076172,0.20567484200000763,1.0624433755874634,43809,56678,6,6,11,12,17,17,20,20,/data/user/timematch/outputs/timematch_33UVP_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
AT1,DK1,austria/33UVP/2017,denmark/32VNH/2017,True,structure,5,structure,5,10,1,timematch_33UVP_to_32VNH_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003,0.7453966533803241,0.7517125092212035,0.15562237799167633,0.1643640697002411,0.8665079474449158,0.49134039878845215,0.10556018352508545,0.231729656457901,0.14383135735988617,0.16808375716209412,0.09877236187458038,0.4474949240684509,0.19715380668640137,0.2138698548078537,1.3236448764801025,0.5445520281791687,0.16231492161750793,1.2332926988601685,0.169014573097229,0.22006036341190338,0.9838376641273499,0.1147356852889061,1381.3709716796875,217.96661376953125,369.9520568847656,0.16577817499637604,0.12829779088497162,0.20753996074199677,323.3822326660156,218.5435028076172,0.20567484200000763,1.0917218923568726,43809,53173,6,6,11,12,17,17,20,20,/data/user/timematch/outputs/timematch_33UVP_to_32VNH_closedset_noshift_sourcephasecompact_p5_v232_multistruct_s010_rel003
