group_name,group_value,metric,family,corr_with_target_f1,abs_corr,pair_count,task_count
source,AT1,source_encoded_amplitude_excursion_cv,amplitude_spread,nan,nan,3,3
source,AT1,source_encoded_amplitude_excursion_mean,amplitude_spread,nan,nan,3,3
source,AT1,source_encoded_amplitude_late_early_energy_ratio_mean,amplitude_spread,nan,nan,3,3
source,AT1,source_encoded_amplitude_phase_energy_cv_mean,amplitude_spread,nan,nan,3,3
source,AT1,source_encoded_interphase_adjacent_jump_cv,inter_phase_contrast,nan,nan,3,3
source,AT1,source_encoded_interphase_adjacent_jump_mean,inter_phase_contrast,nan,nan,3,3
source,AT1,source_encoded_interphase_boundary_sharpness_mean,inter_phase_contrast,nan,nan,3,3
source,AT1,source_encoded_interphase_early_late_shift_mean,inter_phase_contrast,nan,nan,3,3
source,AT1,source_encoded_interphase_global_separation_mean,inter_phase_contrast,nan,nan,3,3
source,AT1,source_encoded_intraphase_internal_step_mean,intra_phase_compact_smooth,nan,nan,3,3
source,AT1,source_encoded_intraphase_late_early_radius_ratio_mean,intra_phase_compact_smooth,nan,nan,3,3
source,AT1,source_encoded_intraphase_radius_mean,intra_phase_compact_smooth,nan,nan,3,3
source,AT1,source_encoded_intraphase_radius_phase_cv_mean,intra_phase_compact_smooth,nan,nan,3,3
source,AT1,source_encoded_trend_burstiness_mean,trend_activity,nan,nan,3,3
source,AT1,source_encoded_trend_curvature_mean,trend_activity,nan,nan,3,3
source,AT1,source_encoded_trend_directionality_mean,trend_activity,nan,nan,3,3
source,AT1,source_encoded_trend_path_length_mean,trend_activity,nan,nan,3,3
source,DK1,source_encoded_amplitude_excursion_cv,amplitude_spread,nan,nan,3,3
source,DK1,source_encoded_amplitude_excursion_mean,amplitude_spread,nan,nan,3,3
source,DK1,source_encoded_amplitude_late_early_energy_ratio_mean,amplitude_spread,nan,nan,3,3
source,DK1,source_encoded_amplitude_phase_energy_cv_mean,amplitude_spread,nan,nan,3,3
source,DK1,source_encoded_interphase_adjacent_jump_cv,inter_phase_contrast,nan,nan,3,3
source,DK1,source_encoded_interphase_adjacent_jump_mean,inter_phase_contrast,nan,nan,3,3
source,DK1,source_encoded_interphase_boundary_sharpness_mean,inter_phase_contrast,nan,nan,3,3
source,DK1,source_encoded_interphase_early_late_shift_mean,inter_phase_contrast,nan,nan,3,3
source,DK1,source_encoded_interphase_global_separation_mean,inter_phase_contrast,nan,nan,3,3
source,DK1,source_encoded_intraphase_internal_step_mean,intra_phase_compact_smooth,nan,nan,3,3
source,DK1,source_encoded_intraphase_late_early_radius_ratio_mean,intra_phase_compact_smooth,nan,nan,3,3
source,DK1,source_encoded_intraphase_radius_mean,intra_phase_compact_smooth,nan,nan,3,3
source,DK1,source_encoded_intraphase_radius_phase_cv_mean,intra_phase_compact_smooth,nan,nan,3,3
source,DK1,source_encoded_trend_burstiness_mean,trend_activity,nan,nan,3,3
source,DK1,source_encoded_trend_curvature_mean,trend_activity,nan,nan,3,3
source,DK1,source_encoded_trend_directionality_mean,trend_activity,nan,nan,3,3
source,DK1,source_encoded_trend_path_length_mean,trend_activity,nan,nan,3,3
source,FR1,source_encoded_amplitude_excursion_cv,amplitude_spread,nan,nan,3,3
source,FR1,source_encoded_amplitude_excursion_mean,amplitude_spread,nan,nan,3,3
source,FR1,source_encoded_amplitude_late_early_energy_ratio_mean,amplitude_spread,nan,nan,3,3
source,FR1,source_encoded_amplitude_phase_energy_cv_mean,amplitude_spread,nan,nan,3,3
source,FR1,source_encoded_interphase_adjacent_jump_cv,inter_phase_contrast,nan,nan,3,3
source,FR1,source_encoded_interphase_adjacent_jump_mean,inter_phase_contrast,nan,nan,3,3
source,FR1,source_encoded_interphase_boundary_sharpness_mean,inter_phase_contrast,nan,nan,3,3
source,FR1,source_encoded_interphase_early_late_shift_mean,inter_phase_contrast,nan,nan,3,3
source,FR1,source_encoded_interphase_global_separation_mean,inter_phase_contrast,nan,nan,3,3
source,FR1,source_encoded_intraphase_internal_step_mean,intra_phase_compact_smooth,nan,nan,3,3
source,FR1,source_encoded_intraphase_late_early_radius_ratio_mean,intra_phase_compact_smooth,nan,nan,3,3
source,FR1,source_encoded_intraphase_radius_mean,intra_phase_compact_smooth,nan,nan,3,3
source,FR1,source_encoded_intraphase_radius_phase_cv_mean,intra_phase_compact_smooth,nan,nan,3,3
source,FR1,source_encoded_trend_burstiness_mean,trend_activity,nan,nan,3,3
source,FR1,source_encoded_trend_curvature_mean,trend_activity,nan,nan,3,3
source,FR1,source_encoded_trend_directionality_mean,trend_activity,nan,nan,3,3
source,FR1,source_encoded_trend_path_length_mean,trend_activity,nan,nan,3,3
source,FR2,source_encoded_amplitude_excursion_cv,amplitude_spread,nan,nan,3,3
source,FR2,source_encoded_amplitude_excursion_mean,amplitude_spread,nan,nan,3,3
source,FR2,source_encoded_amplitude_late_early_energy_ratio_mean,amplitude_spread,nan,nan,3,3
source,FR2,source_encoded_amplitude_phase_energy_cv_mean,amplitude_spread,nan,nan,3,3
source,FR2,source_encoded_interphase_adjacent_jump_cv,inter_phase_contrast,nan,nan,3,3
source,FR2,source_encoded_interphase_adjacent_jump_mean,inter_phase_contrast,nan,nan,3,3
source,FR2,source_encoded_interphase_boundary_sharpness_mean,inter_phase_contrast,nan,nan,3,3
source,FR2,source_encoded_interphase_early_late_shift_mean,inter_phase_contrast,nan,nan,3,3
source,FR2,source_encoded_interphase_global_separation_mean,inter_phase_contrast,nan,nan,3,3
source,FR2,source_encoded_intraphase_internal_step_mean,intra_phase_compact_smooth,nan,nan,3,3
source,FR2,source_encoded_intraphase_late_early_radius_ratio_mean,intra_phase_compact_smooth,nan,nan,3,3
source,FR2,source_encoded_intraphase_radius_mean,intra_phase_compact_smooth,nan,nan,3,3
source,FR2,source_encoded_intraphase_radius_phase_cv_mean,intra_phase_compact_smooth,nan,nan,3,3
source,FR2,source_encoded_trend_burstiness_mean,trend_activity,nan,nan,3,3
source,FR2,source_encoded_trend_curvature_mean,trend_activity,nan,nan,3,3
source,FR2,source_encoded_trend_directionality_mean,trend_activity,nan,nan,3,3
source,FR2,source_encoded_trend_path_length_mean,trend_activity,nan,nan,3,3
