source,target,source_dataset,target_dataset,closed_set,source_phase_partition_mode,source_phase_count,raw_source_phase_partition_mode,raw_source_phase_count,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,raw_source_phase_margin_p1,source_phase_margin_p5,source_phase_compactness_p2,source_phase_margin_p2,source_phase_separability_p5,raw_source_phase_separability_p1,source_phase_separability_p4,source_phase_compactness_p1,source_phase_compactness_p3,source_phase_compactness_p4,source_phase_margin_p4,source_phase_compactness_p5,source_phase_separability_p2,raw_source_phase_margin_p2,raw_source_phase_compactness_p5,raw_source_phase_separability_p5,raw_source_phase_margin_p5,source_phase_margin_p1,raw_source_phase_margin_p4,source_phase_separability_p1,raw_source_phase_separability_p2,raw_source_phase_compactness_p1,source_phase_margin_p3,source_phase_separability_p3,raw_source_phase_separability_p3,raw_source_phase_compactness_p3,raw_source_phase_margin_p3,raw_source_phase_compactness_p4,raw_source_phase_separability_p4,raw_source_phase_compactness_p2,source_samples,target_samples,source_phase_boundary_1,raw_source_phase_boundary_1,source_phase_boundary_2,raw_source_phase_boundary_2,source_phase_boundary_3,raw_source_phase_boundary_3,source_phase_boundary_4,raw_source_phase_boundary_4,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.7654798997206099,0.9567406918187071,0.12133369594812393,0.1778615564107895,0.309908390045166,0.4968473017215729,0.16502268612384796,0.23531368374824524,0.7832269072532654,0.5262938737869263,0.3064589500427246,0.4415612816810608,0.4301866888999939,0.3295151889324188,1.1673427820205688,0.17981918156147003,174.82595825195312,0.14493295550346375,0.09561069309711456,0.28667518496513367,0.14043205976486206,0.48074832558631897,0.5935841202735901,275.77813720703125,0.3832133710384369,0.502102255821228,0.045899730175733566,134.81764221191406,0.062199804931879044,311.335693359375,0.26774656772613525,335.4552307128906,106028,73493,6,16,9,19,13,23,18,26,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.660907604037392,0.9489835059455313,0.12133369594812393,0.1779029220342636,0.37729474902153015,0.5225220322608948,0.15373073518276215,0.23531368374824524,0.7910231947898865,0.5865832567214966,0.36533674597740173,0.4598122537136078,0.4111408293247223,0.423911988735199,1.3404866456985474,0.17981918156147003,174.82595825195312,0.14493295550346375,0.09561069309711456,0.29610803723335266,0.14043205976486206,0.5619511008262634,0.5935841202735901,275.77813720703125,0.4003560245037079,0.5939939618110657,0.045899730175733566,134.81764221191406,0.062199804931879044,311.335693359375,0.26774656772613525,335.4552307128906,106028,48123,6,16,9,19,13,23,19,26,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.8172605642233364,0.970010905125409,0.12133369594812393,0.17906324565410614,0.435537189245224,0.5090135931968689,0.15520909428596497,0.23531368374824524,0.7373999953269958,0.6387821435928345,0.4150657057762146,0.5557810664176941,0.4381953179836273,0.4342572093009949,1.2619576454162598,0.17981918156147003,174.82595825195312,0.14493295550346375,0.09561069309711456,0.29247573018074036,0.14043205976486206,0.5357280969619751,0.5935841202735901,275.77813720703125,0.3800996243953705,0.5290474891662598,0.045899730175733566,134.81764221191406,0.062199804931879044,311.335693359375,0.26774656772613525,335.4552307128906,106028,42731,6,16,9,19,13,23,18,26,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.7263616022773961,0.9664277242019493,0.10428790003061295,0.16948898136615753,0.2827725112438202,0.40743881464004517,0.15359656512737274,0.12085629254579544,0.950573205947876,0.25536757707595825,0.19399000704288483,0.3167668282985687,0.44279468059539795,0.30620014667510986,1.0157419443130493,0.19164124131202698,149.06671142578125,0.0682501420378685,0.05872982740402222,0.2465798407793045,0.13181829452514648,0.4130040109157562,0.839356541633606,501.195556640625,0.4712483882904053,0.9175421595573425,1.3665719032287598,680.4117431640625,0.29266807436943054,619.5103149414062,0.1994227170944214,483.4267578125,74156,106107,3,3,12,13,15,17,19,27,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.6692498894464263,0.9344115004492363,0.10428790003061295,0.1650715172290802,0.2845674157142639,0.4090229272842407,0.15387587249279022,0.12085629254579544,0.6640704274177551,0.2669866681098938,0.21366745233535767,0.3388570547103882,0.3651937246322632,0.28589555621147156,1.0312342643737793,0.19164124131202698,149.06671142578125,0.0682501420378685,0.05872982740402222,0.2513199746608734,0.13181829452514648,0.41832947731018066,0.839356541633606,501.195556640625,0.4873425364494324,0.9942919015884399,1.3665719032287598,680.4117431640625,0.29266807436943054,619.5103149414062,0.1994227170944214,483.4267578125,74156,48123,3,3,12,13,17,17,20,27,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.6891402524899729,0.9589022576720292,0.10428790003061295,0.15985053777694702,0.2799316346645355,0.3895834684371948,0.1401701271533966,0.12085629254579544,0.6009877920150757,0.23651540279388428,0.21543380618095398,0.3487882614135742,0.3478017747402191,0.255607932806015,0.9196593761444092,0.19164124131202698,149.06671142578125,0.0682501420378685,0.05872982740402222,0.23850895464420319,0.13181829452514648,0.37771859765052795,0.839356541633606,501.195556640625,0.47272491455078125,0.9115328788757324,1.3665719032287598,680.4117431640625,0.29266807436943054,619.5103149414062,0.1994227170944214,483.4267578125,74156,42731,3,3,12,13,17,17,20,27,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.567266588240087,0.9452638304669613,0.0698949545621872,0.16480191051959991,0.1081433817744255,0.14487911760807037,0.13138747215270996,0.0794692412018776,0.4984492361545563,0.17694807052612305,0.1860828846693039,0.13050836324691772,0.3441515266895294,0.16401037573814392,0.09599713236093521,0.1222417876124382,222.9741668701172,0.03978513926267624,0.05414534732699394,0.23373670876026154,0.08052527159452438,0.4414542019367218,0.2234310656785965,174.64564514160156,0.299782931804657,0.6757983565330505,0.056327976286411285,162.55735778808594,0.0791436955332756,334.7867126464844,0.21902036666870117,364.2541809082031,53823,104447,3,5,6,12,12,23,18,26,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.5047673630709492,0.9171887769000272,0.0698949545621872,0.1501077562570572,0.1694222092628479,0.29716023802757263,0.0934663712978363,0.0794692412018776,0.13140566647052765,0.10855840146541595,0.104496531188488,0.1419134885072708,0.15868014097213745,0.10403469949960709,0.6922383308410645,0.1222417876124382,222.9741668701172,0.03978513926267624,0.05414534732699394,0.18847154080867767,0.08052527159452438,0.2685445249080658,0.2234310656785965,174.64564514160156,0.3370002806186676,0.4472435712814331,0.056327976286411285,162.55735778808594,0.0791436955332756,334.7867126464844,0.21902036666870117,364.2541809082031,53823,57128,6,5,12,12,18,23,27,26,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.6287787828586038,0.9362493586454592,0.0698949545621872,0.1506507843732834,0.18565306067466736,0.2916543781757355,0.09097405523061752,0.0794692412018776,0.13386234641075134,0.12962596118450165,0.12643630802631378,0.1656304895877838,0.16392973065376282,0.12567877769470215,0.658470869064331,0.1222417876124382,222.9741668701172,0.03978513926267624,0.05414534732699394,0.18813319504261017,0.08052527159452438,0.2584132254123688,0.2234310656785965,174.64564514160156,0.3395456373691559,0.45459553599357605,0.056327976286411285,162.55735778808594,0.0791436955332756,334.7867126464844,0.21902036666870117,364.2541809082031,53823,43959,6,5,12,12,18,23,27,26,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,structure,5,structure,5,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003,0.6644981734888166,0.8887698816472982,0.10556018352508545,0.1644604504108429,0.223698690533638,0.41774681210517883,0.15633989870548248,0.14383135735988617,0.7284742593765259,0.2253599315881729,0.19795316457748413,0.17025291919708252,0.47231894731521606,0.14159724116325378,1.0595340728759766,0.2138698548078537,217.96661376953125,0.16808375716209412,0.09877236187458038,0.16897660493850708,0.19715380668640137,0.23205165565013885,1.2332926988601685,218.5435028076172,0.6945938467979431,1.6654634475708008,0.20753996074199677,323.3822326660156,0.20567484200000763,1381.3709716796875,0.9838376641273499,369.9520568847656,43809,104138,6,6,13,12,16,17,20,20,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003
