source,target,source_dataset,target_dataset,closed_set,source_phase_partition_mode,source_phase_count,raw_source_phase_partition_mode,raw_source_phase_count,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,raw_source_phase_margin_p1,source_phase_margin_p2,raw_source_phase_separability_p1,source_phase_separability_p2,raw_source_phase_separability_p5,raw_source_phase_margin_p5,raw_source_phase_margin_p2,source_phase_compactness_p3,raw_source_phase_margin_p4,source_phase_margin_p5,source_phase_compactness_p1,source_phase_compactness_p4,source_phase_compactness_p2,source_phase_margin_p4,source_phase_separability_p5,source_phase_compactness_p5,raw_source_phase_separability_p2,source_phase_separability_p4,source_phase_margin_p3,raw_source_phase_compactness_p5,raw_source_phase_separability_p4,raw_source_phase_compactness_p4,raw_source_phase_compactness_p2,source_phase_separability_p3,raw_source_phase_compactness_p1,raw_source_phase_separability_p3,source_phase_margin_p1,raw_source_phase_compactness_p3,source_phase_separability_p1,raw_source_phase_margin_p3,source_samples,target_samples,source_phase_boundary_1,raw_source_phase_boundary_1,source_phase_boundary_2,raw_source_phase_boundary_2,source_phase_boundary_3,raw_source_phase_boundary_3,source_phase_boundary_4,raw_source_phase_boundary_4,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.7928250196309485,0.9635928341451333,0.12133369594812393,0.48532769083976746,0.23531368374824524,1.091156005859375,0.14493295550346375,0.09561069309711456,0.17981918156147003,0.47646594047546387,0.14043205976486206,0.17614445090293884,0.7993748784065247,0.5296996831893921,0.4780714511871338,0.4014315605163574,0.15540780127048492,0.5568085312843323,0.5935841202735901,0.6886252760887146,0.3981398344039917,174.82595825195312,0.26774656772613525,311.335693359375,335.4552307128906,0.5474616885185242,275.77813720703125,0.045899730175733566,0.2773573696613312,134.81764221191406,0.46325674653053284,0.062199804931879044,106028,73493,6,16,9,19,13,23,19,26,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.6671178085776766,0.9538422196650045,0.12133369594812393,0.501485288143158,0.23531368374824524,1.1883975267410278,0.14493295550346375,0.09561069309711456,0.17981918156147003,0.6031853556632996,0.14043205976486206,0.17175914347171783,0.9639984965324402,0.6464694738388062,0.6267871260643005,0.4198056161403656,0.1343662291765213,0.7064732313156128,0.5935841202735901,0.7298895716667175,0.41071605682373047,174.82595825195312,0.26774656772613525,311.335693359375,335.4552307128906,0.6021424531936646,275.77813720703125,0.045899730175733566,0.2790597975254059,134.81764221191406,0.4927481710910797,0.062199804931879044,106028,48123,6,16,9,19,13,23,19,26,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.7589769972146017,0.9690567066521265,0.12133369594812393,0.4952409565448761,0.23531368374824524,1.203161597251892,0.14493295550346375,0.09561069309711456,0.17981918156147003,0.6947535276412964,0.14043205976486206,0.17877303063869476,0.9955961108207703,0.7951334118843079,0.7378983497619629,0.4496189057826996,0.14559318125247955,0.750455915927887,0.5935841202735901,0.7133504748344421,0.3979215621948242,174.82595825195312,0.26774656772613525,311.335693359375,335.4552307128906,0.5642834901809692,275.77813720703125,0.045899730175733566,0.2773209512233734,134.81764221191406,0.46091294288635254,0.062199804931879044,106028,42731,6,16,9,19,13,23,18,26,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.7364531225900864,0.9620442473312362,0.10428790003061295,0.399718314409256,0.12085629254579544,1.0240331888198853,0.0682501420378685,0.05872982740402222,0.19164124131202698,0.37205734848976135,0.13181829452514648,0.15635915100574493,0.36224445700645447,0.4820486605167389,0.2873215675354004,0.3485994338989258,0.13262461125850677,0.40768903493881226,0.839356541633606,0.9543949961662292,0.5497163534164429,149.06671142578125,0.1994227170944214,619.5103149414062,483.4267578125,1.6836408376693726,501.195556640625,1.3665719032287598,0.24860261380672455,680.4117431640625,0.43329572677612305,0.29266807436943054,74156,106107,3,3,14,13,17,17,20,27,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.5152085428250689,0.9309459632909768,0.10428790003061295,0.38581228256225586,0.12085629254579544,0.9757927060127258,0.0682501420378685,0.05872982740402222,0.19164124131202698,0.2516299784183502,0.13181829452514648,0.17128026485443115,0.3552672863006592,0.4020470082759857,0.3334422707557678,0.4039318263530731,0.15773099660873413,0.39750638604164124,0.839356541633606,1.044105052947998,0.519281804561615,149.06671142578125,0.1994227170944214,619.5103149414062,483.4267578125,1.346770167350769,501.195556640625,1.3665719032287598,0.24761880934238434,680.4117431640625,0.4284128248691559,0.29266807436943054,74156,48123,3,3,10,13,16,17,19,27,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.6515535024726536,0.9570095984858726,0.10428790003061295,0.37887948751449585,0.12085629254579544,0.854667603969574,0.0682501420378685,0.05872982740402222,0.19164124131202698,0.33492374420166016,0.13181829452514648,0.1608823835849762,0.3626232147216797,0.43781334161758423,0.2691514194011688,0.35420629382133484,0.1372665911912918,0.36849600076675415,0.839356541633606,0.7410867214202881,0.5700902342796326,149.06671142578125,0.1994227170944214,619.5103149414062,483.4267578125,1.4366422891616821,501.195556640625,1.3665719032287598,0.3123939633369446,680.4117431640625,0.686447024345398,0.29266807436943054,74156,42731,5,3,14,13,17,17,20,27,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.5910784571788193,0.9561791171929077,0.0698949545621872,0.14167781174182892,0.0794692412018776,0.09217213839292526,0.03978513926267624,0.05414534732699394,0.1222417876124382,0.22637370228767395,0.08052527159452438,0.16571460664272308,0.21967341005802155,0.16271090507507324,0.12149127572774887,0.3307900130748749,0.12940198183059692,0.19557073712348938,0.2234310656785965,0.4282369613647461,0.3050573170185089,222.9741668701172,0.21902036666870117,334.7867126464844,364.2541809082031,0.7403588891029358,174.64564514160156,0.056327976286411285,0.24788320064544678,162.55735778808594,0.41747522354125977,0.0791436955332756,53823,104447,3,5,6,12,12,23,18,26,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.4477748530642325,0.9188232089348951,0.0698949545621872,0.1333627551794052,0.0794692412018776,0.0750851109623909,0.03978513926267624,0.05414534732699394,0.1222417876124382,0.21838156878948212,0.08052527159452438,0.15416882932186127,0.20248883962631226,0.13407166302204132,0.09785273671150208,0.3236876428127289,0.11965838819742203,0.1573822796344757,0.2234310656785965,0.4196854829788208,0.3007310926914215,222.9741668701172,0.21902036666870117,334.7867126464844,364.2541809082031,0.7217649817466736,174.64564514160156,0.056327976286411285,0.2530072033405304,162.55735778808594,0.4480283260345459,0.0791436955332756,53823,57128,3,5,6,12,12,23,18,26,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.5509808508571208,0.7691123653155464,0.0698949545621872,0.2984587848186493,0.0794692412018776,0.782034158706665,0.03978513926267624,0.05414534732699394,0.1222417876124382,0.16534976661205292,0.08052527159452438,0.15039145946502686,0.15741823613643646,0.20084485411643982,0.23567458987236023,0.1697835922241211,0.09628092497587204,0.15330182015895844,0.2234310656785965,0.14382337033748627,0.3342815339565277,222.9741668701172,0.21902036666870117,334.7867126464844,364.2541809082031,0.44381654262542725,174.64564514160156,0.056327976286411285,0.1954735964536667,162.55735778808594,0.2500562369823456,0.0791436955332756,53823,43959,6,5,12,12,18,23,27,26,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,structure,5,structure,5,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.6567411085152095,0.9012477909280779,0.10556018352508545,0.40669772028923035,0.14383135735988617,0.9767974615097046,0.16808375716209412,0.09877236187458038,0.2138698548078537,0.23908044397830963,0.19715380668640137,0.16563831269741058,0.2873324155807495,0.22441640496253967,0.24603667855262756,0.47749966382980347,0.14911305904388428,0.15524059534072876,1.2332926988601685,0.8100757598876953,0.6818534731864929,217.96661376953125,0.9838376641273499,1381.3709716796875,369.9520568847656,1.4664314985275269,218.5435028076172,0.20753996074199677,0.16463325917720795,323.3822326660156,0.22027872502803802,0.20567484200000763,43809,104138,6,6,13,12,16,17,20,20,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
