source,target,source_dataset,target_dataset,closed_set,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,pse_mid_curve_distance,prototype_distance,raw_source_curve_spread,pse_early_curve_distance,pse_late_curve_distance,target_curve_spread,target_curve_activity_range,raw_source_ndvi_q90_range_mean,source_ndvi_q90_range_mean,source_fisher_ratio,source_curve_activity_range,mmd,raw_curve_spread_gap,target_fisher_ratio,pse_trend_curve_distance,domain_ndvi_curve_mse,curve_spread_gap,raw_source_ndvi_q90_range_std,source_ndvi_q90_range_std,best_shifted_curve_mse,relation_structure_distance,classwise_curve_shift_mse_mean,source_curve_spread,raw_source_class_curve_variance_mean,source_class_curve_variance_mean,domain_bandwise_curve_mse,global_curve_shift_mse,ndvi_q90_range_mean_gap,raw_ndvi_q90_range_mean_gap,acf_distance,class_relative_curve_structure_corr,coral,fisher_ratio_gap,raw_source_curve_activity_range,raw_source_fisher_ratio,class_relative_curve_structure_mse,class_curve_variance_mean_gap,raw_class_curve_variance_mean_gap,raw_target_ndvi_q90_range_std,target_ndvi_q90_range_std,raw_target_ndvi_q90_range_mean,target_ndvi_q90_range_mean,raw_target_fisher_ratio,raw_target_curve_spread,raw_curve_activity_range_gap,curve_activity_range_gap,raw_fisher_ratio_gap,raw_target_curve_activity_range,raw_target_class_curve_variance_mean,target_class_curve_variance_mean,shared_classes_for_proto,shared_classes_for_relation,shared_classes_for_curves,shared_classes_for_curve_structure,source_samples,target_samples,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.7928250196309485,0.9635928341451333,0.6259220242500305,0.9091932773590088,0.12325584888458252,0.5324786901473999,0.5970596671104431,5.787179946899414,3.616790771484375,0.7321340116587552,0.7321340116587552,1.9833245277404785,3.402637243270874,0.11225283145904541,0.016413740813732147,2.15720272064209,5.640376091003418,0.03603022173047066,-0.8720464706420898,0.05812385301532046,0.05812385301532046,0.00018040130089502782,0.0017242705216631293,0.0002772654115688056,4.915133476257324,0.00013859994942322373,0.00013859994942322373,0.00023987554595805705,0.00023987554595805705,0.07352254065600317,0.07352254065600317,0.07656922936439514,0.4541029022023368,3.702404137584381e-05,-0.17387819290161133,0.15825997292995453,0.023563042283058167,0.002693342976272106,1.764119224390015e-05,1.764119224390015e-05,0.03394764737904725,0.03394764737904725,0.6586114710027521,0.6586114710027521,0.0795603096485138,0.10684210807085037,0.02147233486175537,-0.21415352821350098,-0.05599726736545563,0.13678763806819916,0.00012095875717932358,0.00012095875717932358,11,11,11,11,106028,73493,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.6671178085776766,0.9538422196650045,0.5666053891181946,1.2825368642807007,0.12325584888458252,0.6798804402351379,0.4663657248020172,4.812308311462402,3.5658316612243652,0.7321340116587552,0.7321340116587552,1.9692143201828003,3.022718906402588,0.08332908153533936,-0.032970622181892395,2.277853488922119,5.780175685882568,0.03144913911819458,-0.3251838684082031,0.05812385301532046,0.05812385301532046,0.0001637448585825041,0.0031814775429666042,0.00023077808145899326,4.487124443054199,0.00013859994942322373,0.00013859994942322373,0.00016374487313441932,0.0001637448585825041,0.06439524618062109,0.06439524618062109,0.04414838179945946,-0.17035706514454035,2.734486770350486e-05,-0.30863916873931885,0.15825997292995453,0.023563042283058167,0.017287269234657288,-2.949850750155747e-05,-2.949850750155747e-05,0.06577309494737843,0.06577309494737843,0.6677387654781342,0.6677387654781342,0.021165624260902405,0.15622647106647491,-0.013956829905509949,-0.5431127548217773,0.0023974180221557617,0.17221680283546448,0.0001680984569247812,0.0001680984569247812,10,10,10,10,106028,48123,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.7589769972146017,0.9690567066521265,0.5716529488563538,0.9139888882637024,0.12325584888458252,0.6938124299049377,0.4313884377479553,5.355507850646973,3.703568696975708,0.7321340116587552,0.7321340116587552,2.0183355808258057,2.7571542263031006,0.04549872875213623,-0.013747230172157288,3.1830689907073975,6.047336578369141,0.06800349056720734,-1.2740721702575684,0.05812385301532046,0.05812385301532046,0.0002983615850098431,0.0016580417286604643,0.0006201796932145953,4.081435680389404,0.00013859994942322373,0.00013859994942322373,0.000490067875944078,0.000490067875944078,-0.007357313958081257,-0.007357313958081257,0.06652563065290451,0.2799088927332446,1.5405154044856317e-05,-1.1647334098815918,0.15825997292995453,0.023563042283058167,0.0030924296006560326,-0.0001426248054485768,-0.0001426248054485768,0.03103057536689931,0.03103057536689931,0.7394913256168365,0.7394913256168365,0.08902993053197861,0.1370030790567398,-0.034249693155288696,-0.9464144706726074,-0.06546688824892044,0.19250966608524323,0.00028122475487180054,0.00028122475487180054,10,10,10,10,106028,42731,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.7364531225900864,0.9620442473312362,0.9606022834777832,1.4558871984481812,0.10544401407241821,0.7186941504478455,0.9967083930969238,6.881228446960449,5.040136814117432,0.6546598424514135,0.6546598424514135,2.169903516769409,4.799905300140381,0.09150731563568115,-0.01817106455564499,1.7245604991912842,8.495842933654785,0.03600727394223213,0.6144647598266602,0.03504532829880232,0.03504532829880232,0.00018058385467156768,0.0006276352796703577,0.0002774327585939318,7.495693206787109,0.00012282634270377457,0.00012282634270377457,0.00024001396377570927,0.0002400139783276245,-0.07792570690313971,-0.07792570690313971,0.07661489397287369,0.42720616143867274,0.00015147787053138018,0.445343017578125,0.13860245048999786,0.07966586202383041,0.002766799181699753,-1.8880426068790257e-05,-1.8880426068790257e-05,0.055669499558546616,0.055669499558546616,0.7325855493545532,0.7325855493545532,0.023602159693837166,0.1236150786280632,-0.022155553102493286,-0.24023151397705078,0.05606370232999325,0.16075800359249115,0.00014170676877256483,0.00014170676877256483,12,12,12,12,74156,106107,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.5152085428250689,0.9309459632909768,1.3770760297775269,1.9522333145141602,0.10544401407241821,1.2890527248382568,0.9848712682723999,7.545958042144775,5.541630744934082,0.6546598424514135,0.6546598424514135,1.560483694076538,5.057006359100342,0.0695958137512207,-0.0507824569940567,1.9817595481872559,9.093038558959961,0.023479918017983437,-0.035425662994384766,0.03504532829880232,0.03504532829880232,0.00015764583076816052,0.004301902838051319,0.00029868114506825805,7.510532379150391,0.00012282634270377457,0.00012282634270377457,0.00022875357535667717,0.0002287535899085924,-0.013078923026720646,-0.013078923026720646,0.06674675643444061,-0.00478981038986775,7.898193871369585e-05,-0.4212758541107178,0.13860245048999786,0.07966586202383041,0.016219884157180786,-4.527211422100663e-05,-4.527211422100663e-05,0.06577309494737843,0.06577309494737843,0.6677387654781342,0.6677387654781342,0.021165624260902405,0.15622647106647491,-0.033614352345466614,-0.48462438583374023,0.05850023776292801,0.17221680283546448,0.0001680984569247812,0.0001680984569247812,10,10,10,10,74156,48123,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.6515535024726536,0.9570095984858726,0.88441401720047,1.3493874073028564,0.10544401407241821,1.1597988605499268,0.904022216796875,8.285735130310059,5.632177352905273,0.6546598424514135,0.6546598424514135,1.7772101163864136,4.807332515716553,0.08164608478546143,-0.031559064984321594,2.631242275238037,9.048473358154297,0.034293003380298615,-1.0908660888671875,0.03504532829880232,0.03504532829880232,0.0002791621955111623,0.0011706978548318148,0.0004376363067422062,7.194869041442871,0.00012282634270377457,0.00012282634270377457,0.00038409241824410856,0.00038409241824410856,-0.084831483165423,-0.084831483165423,0.06963697820901871,0.32370058323435297,0.00012726601562462747,-0.8540321588516235,0.13860245048999786,0.07966586202383041,0.002500478643923998,-0.00015839841216802597,-0.00015839841216802597,0.03103057536689931,0.03103057536689931,0.7394913256168365,0.7394913256168365,0.08902993053197861,0.1370030790567398,-0.05390721559524536,-0.8248448371887207,-0.009364068508148193,0.19250966608524323,0.00028122475487180054,0.00028122475487180054,10,10,10,10,74156,42731,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.5910784571788193,0.9561791171929077,1.2700612545013428,2.0039055347442627,0.08906648308038712,0.9995875358581543,0.9277029037475586,7.11293888092041,5.317946910858154,0.6766762435436249,0.6766762435436249,1.561132788658142,5.551225185394287,0.05482041835784912,-0.03010737895965576,1.7934191226959229,10.406625747680664,0.03194848820567131,-0.422607421875,0.042695548552879735,0.042695548552879735,0.00016396143473684788,0.0012684640241786838,0.00021391436166595668,6.69033145904541,0.0001281706354347989,0.0001281706354347989,0.00016396140563301742,0.00016396143473684788,-0.05631857117017114,-0.05631857117017114,0.044380709528923035,0.014220754996287398,0.00011038858065148816,-0.23228633403778076,0.1596878170967102,0.019903885200619698,0.002824433147907257,-7.269321940839291e-06,-7.269321940839291e-06,0.04851270566638856,0.04851270566638856,0.732994814713796,0.732994814713796,0.019460685551166534,0.11917386204004288,0.0036220550537109375,0.2332782745361328,0.00044319964945316315,0.15606576204299927,0.0001354399573756382,0.0001354399573756382,12,12,12,12,53823,104447,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.4477748530642325,0.9188232089348951,1.823633074760437,2.1797094345092773,0.08906648308038712,1.513490080833435,1.56466805934906,8.375164985656738,5.698648452758789,0.6766762435436249,0.6766762435436249,1.4895912408828735,5.811232089996338,0.07696521282196045,-0.008998803794384003,1.432859182357788,9.785143852233887,0.03004121407866478,-1.4515347480773926,0.042695548552879735,0.042695548552879735,0.00016665605653543025,0.0014966870658099651,0.00026471877936273813,6.923630237579346,0.0001281706354347989,0.0001281706354347989,0.0002421480166958645,0.0002421480166958645,0.021651600797971127,0.021651600797971127,0.0669599324464798,0.38942010963565205,0.000106760737253353,0.05673205852508545,0.1596878170967102,0.019903885200619698,0.001077831257134676,7.061891665216535e-06,7.061891665216535e-06,0.03706946929733331,0.03706946929733331,0.6550246427456538,0.6550246427456538,0.05039803311228752,0.09806528687477112,0.023102223873138428,0.11258363723754883,-0.030494147911667824,0.13658559322357178,0.00012110874376958236,0.00012110874376958236,12,12,12,12,53823,57128,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.5509808508571208,0.7691123653155464,1.1668800115585327,2.1300761699676514,0.08906648308038712,1.4109182357788086,1.1158018112182617,8.366035461425781,6.404409885406494,0.6766762435436249,0.6766762435436249,1.5028738975524902,5.636819839477539,0.050444602966308594,-0.033044636249542236,2.549781084060669,10.636161804199219,0.03909849375486374,-1.6355481147766113,0.042695548552879735,0.042695548552879735,0.00032637317781336606,0.0009666708065196872,0.0005060448893345892,6.73048734664917,0.0001281706354347989,0.0001281706354347989,0.0004431382694747299,0.0004431382694747299,-0.05667199194431305,-0.05667199194431305,0.05812571570277214,0.33913254206789356,0.00013904142542742193,-1.0469071865081787,0.1596878170967102,0.019903885200619698,0.002201913855969906,-0.0001547162391943857,-0.0001547162391943857,0.031152452046977842,0.031152452046977842,0.7333482354879379,0.7333482354879379,0.08871390670537949,0.12211111932992935,-0.03232501447200775,-0.7675900459289551,-0.06881002150475979,0.19201283156871796,0.0002828868746291846,0.0002828868746291846,12,12,12,12,53823,43959,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003,0.6567411085152095,0.9012477909280779,1.2994316816329956,1.7622474431991577,0.13051709532737732,1.374948263168335,1.2476001977920532,6.967108249664307,5.593697547912598,0.7373847126960754,0.7373847126960754,3.0276925563812256,5.742440223693848,0.06593894958496094,0.012533232569694519,1.8196344375610352,12.250263214111328,0.06811375170946121,0.9614596366882324,0.032480193790871255,0.032480193790871255,0.0002980048593599349,0.0008782406221143901,0.0006261737435124815,7.928567886352539,0.00028484355425462127,0.00028484355425462127,0.0004890960990451276,0.0004890961572527885,-0.005391240119934082,-0.005391240119934082,0.06623738259077072,0.20204188691338504,0.00026143703144043684,1.2080581188201904,0.19278576970100403,0.08880192041397095,0.0024675431195646524,0.0001475887547712773,0.0001475887547712773,0.042095343206778935,0.042095343206778935,0.7427759528160095,0.7427759528160095,0.019197210669517517,0.1179838627576828,0.03419598937034607,0.14874267578125,0.06960470974445343,0.15858978033065796,0.00013725479948334396,0.00013725479948334396,10,10,10,10,43809,104138,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v235_trendseason_s010_rel003
