source,target,source_dataset,target_dataset,closed_set,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,source_fisher_ratio,prototype_distance,source_ndvi_q90_range_mean,best_shifted_curve_mse,curve_activity_range_gap,domain_ndvi_curve_mse,source_curve_spread,classwise_curve_shift_mse_mean,domain_bandwise_curve_mse,global_curve_shift_mse,source_curve_activity_range,source_class_curve_variance_mean,pse_trend_curve_distance,target_fisher_ratio,pse_mid_curve_distance,curve_spread_gap,pse_early_curve_distance,coral,relation_structure_distance,ndvi_q90_range_mean_gap,class_curve_variance_mean_gap,fisher_ratio_gap,class_relative_curve_structure_corr,class_relative_curve_structure_mse,target_ndvi_q90_range_mean,target_ndvi_q90_range_std,source_ndvi_q90_range_std,mmd,target_curve_activity_range,acf_distance,pse_late_curve_distance,target_curve_spread,target_class_curve_variance_mean,shared_classes_for_proto,shared_classes_for_relation,shared_classes_for_curves,shared_classes_for_curve_structure,source_samples,target_samples,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5,0.7373654699695001,0.9524477833732353,2.824795961380005,1.5144553184509277,0.7321340116587552,0.00018040130089502782,0.09978413581848145,0.03603022173047066,1.4088841676712036,0.0002772654115688056,0.00023987554595805705,0.00023987554595805705,1.050366997718811,0.00013859994942322373,1.8366446495056152,3.2641725540161133,0.20868448913097382,-0.21920549869537354,0.173818901181221,0.0002925700682681054,0.0012121294857934117,0.07352254065600317,1.764119224390015e-05,-0.4393765926361084,0.4541029022023368,0.002693342976272106,0.6586114710027521,0.03394764737904725,0.05812385301532046,0.109405517578125,0.9505828619003296,0.07656922936439514,0.2667796313762665,1.6280896663665771,0.00012095875717932358,11,11,11,11,106028,73493,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5,0.6771105732221444,0.954865106763841,2.8191192150115967,2.443466901779175,0.7321340116587552,0.0001637448585825041,-0.03654956817626953,0.03144913911819458,1.311651587486267,0.00023077808145899326,0.00016374487313441932,0.0001637448585825041,0.9891679286956787,0.00013859994942322373,1.895215630531311,3.0693535804748535,0.15270432829856873,-0.15165352821350098,0.16870419681072235,0.00025591510348021984,0.0027619365137070417,0.06439524618062109,-2.949850750155747e-05,-0.25023436546325684,-0.17035706514454035,0.017287269234657288,0.6677387654781342,0.06577309494737843,0.05812385301532046,0.10959351062774658,1.0257174968719482,0.04414838179945946,0.1345040202140808,1.463305115699768,0.0001680984569247812,10,10,10,10,106028,48123,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5,0.725400459249956,0.9631952017448201,2.6669368743896484,1.6408836841583252,0.7321340116587552,0.0002983615850098431,-0.1559552550315857,0.06800349056720734,1.262394905090332,0.0006201796932145953,0.000490067875944078,0.000490067875944078,0.8972929120063782,0.00013859994942322373,1.8165483474731445,4.77394437789917,0.17315131425857544,-0.41161835193634033,0.18615981936454773,0.0001403844216838479,0.0011979297269135714,-0.007357313958081257,-0.0001426248054485768,-2.1070075035095215,0.2799088927332446,0.0030924296006560326,0.7394913256168365,0.03103057536689931,0.05812385301532046,0.05514359474182129,1.0532481670379639,0.06652563065290451,0.13908833265304565,1.6740132570266724,0.00028122475487180054,10,10,10,10,106028,42731,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5,0.729122347965602,0.967252849259966,2.5951380729675293,1.9255790710449219,0.6546598424514135,0.00018058385467156768,0.06821978092193604,0.03600727394223213,0.959449291229248,0.0002774327585939318,0.00024001396377570927,0.0002400139783276245,0.6478576064109802,0.00012282634270377457,1.0476683378219604,2.5071775913238525,0.11814425140619278,0.18261408805847168,0.0890611782670021,0.0012744219275191426,0.0004865422088187188,-0.07792570690313971,-1.8880426068790257e-05,0.08796048164367676,0.42720616143867274,0.002766799181699753,0.7325855493545532,0.055669499558546616,0.03504532829880232,0.0799628496170044,0.5796378254890442,0.07661489397287369,0.11911612749099731,0.7768352031707764,0.00014170676877256483,12,12,12,12,74156,106107,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5,0.49682837080939496,0.8753690155307406,1.819870948791504,3.008863925933838,0.6546598424514135,0.00015764583076816052,-0.08383971452713013,0.023479918017983437,1.130552053451538,0.00029868114506825805,0.00022875357535667717,0.0002287535899085924,0.8149740099906921,0.00012282634270377457,1.5172111988067627,2.172744035720825,0.22654768824577332,0.05117368698120117,0.21098557114601135,0.0003850311622954905,0.0030921893194317818,-0.013078923026720646,-4.527211422100663e-05,-0.3528730869293213,-0.00478981038986775,0.016219884157180786,0.6677387654781342,0.06577309494737843,0.03504532829880232,0.07248353958129883,0.8988137245178223,0.06674675643444061,0.1752483993768692,1.079378366470337,0.0001680984569247812,10,10,10,10,74156,48123,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5,0.5913879096787563,0.9541706097066378,1.912223219871521,2.014867067337036,0.6546598424514135,0.0002791621955111623,-0.0790262222290039,0.034293003380298615,1.1298578977584839,0.0004376363067422062,0.00038409241824410856,0.00038409241824410856,0.7793008685112,0.00012282634270377457,1.4406098127365112,3.883455514907837,0.13446536660194397,-0.0369952917098999,0.2090722620487213,0.0005919447867199779,0.0006936576683074236,-0.084831483165423,-0.00015839841216802597,-1.971232295036316,0.32370058323435297,0.002500478643923998,0.7394913256168365,0.03103057536689931,0.03504532829880232,0.08055770397186279,0.8583270907402039,0.06963697820901871,0.18382368981838226,1.1668531894683838,0.00028122475487180054,10,10,10,10,74156,42731,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5,0.5681830871542143,0.9538363239444119,2.0285191535949707,3.0818569660186768,0.6766762435436249,0.00016396143473684788,-0.0062226057052612305,0.03194848820567131,0.7778698205947876,0.00021391436166595668,0.00016396140563301742,0.00016396143473684788,0.596547544002533,0.0001281706354347989,1.0733107328414917,2.2971959114074707,0.11527661234140396,-0.08248275518417358,0.11683783680200577,0.000887100410182029,0.001276734983548522,-0.05631857117017114,-7.269321940839291e-06,-0.2686767578125,0.014220754996287398,0.002824433147907257,0.732994814713796,0.04851270566638856,0.042695548552879735,0.07091987133026123,0.6027701497077942,0.044380709528923035,0.09301701933145523,0.8603525757789612,0.0001354399573756382,12,12,12,12,53823,104447,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5,0.4437030618532695,0.8889948242985563,1.8953649997711182,3.5513970851898193,0.6766762435436249,0.00016665605653543025,-0.1015356183052063,0.03004121407866478,0.9705849885940552,0.00026471877936273813,0.0002421480166958645,0.0002421480166958645,0.7724440097808838,0.0001281706354347989,1.308465600013733,1.7095571756362915,0.2632202208042145,-0.3435640335083008,0.2110709398984909,0.0008116623503156006,0.001054010703228414,0.021651600797971127,7.061891665216535e-06,0.18580782413482666,0.38942010963565205,0.001077831257134676,0.6550246427456538,0.03706946929733331,0.042695548552879735,0.10425055027008057,0.8739796280860901,0.0669599324464798,0.18968673050403595,1.314149022102356,0.00012110874376958236,12,12,12,12,53823,57128,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5,0.6575350670899184,0.9385582349923037,2.2463042736053467,2.8566219806671143,0.6766762435436249,0.00032637317781336606,-0.1722019910812378,0.03909849375486374,0.8888785243034363,0.0005060448893345892,0.0004431382694747299,0.0004431382694747299,0.7333726286888123,0.0001281706354347989,1.461559772491455,4.64078950881958,0.15595890581607819,-0.30577343702316284,0.15415215492248535,0.0016169711016118526,0.0008006866555660963,-0.05667199194431305,-0.0001547162391943857,-2.3944852352142334,0.33913254206789356,0.002201913855969906,0.7333482354879379,0.031152452046977842,0.042695548552879735,0.062297940254211426,0.90557461977005,0.05812571570277214,0.1401127427816391,1.1946519613265991,0.0002828868746291846,12,12,12,12,53823,43959,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5,0.6944806387346019,0.9271675681465217,3.400576591491699,2.3377432823181152,0.7373847126960754,0.0002980048593599349,0.2889701724052429,0.06811375170946121,1.172777771949768,0.0006261737435124815,0.0004890960990451276,0.0004890961572527885,0.9550358653068542,0.00028484355425462127,1.5994478464126587,2.118764638900757,0.13706126809120178,0.28184956312179565,0.20854778587818146,0.0004330672963988036,0.0006632559816353023,-0.005391240119934082,0.0001475887547712773,1.2818119525909424,0.20204188691338504,0.0024675431195646524,0.7427759528160095,0.042095343206778935,0.032480193790871255,0.040018677711486816,0.6660656929016113,0.06623738259077072,0.1838454008102417,0.8909282088279724,0.00013725479948334396,10,10,10,10,43809,104138,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5
